siren,nom,chef de l'exécutif,parti politique,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode
2.19400041E8,Boissy-Saint-Léger,Régis Charbonnier,,COM,IDF-11,"https://boissy.data4citizen.com/portail?facet.field=[%22organization%22,%22tags%22,%22theme%22,%22features%22]&rows=10&start=0&fq=organization:(boissy)",4,,,,,15922,48.750000,2.509000,ptf,94.0
219100864,Bondoufle,Jean Hartz,,COM,IDF-11,https://bondoufle-grandparissud.opendatasoft.com,0,,,,,9066,48.614974,2.383537,ptf,91
2.13300635E8,Bordeaux,Alain Juppé,Union pour un mouvement populaire,COM,NAQ-75,https://opendata.bordeaux-metropole.fr/explore/?disjunctive.publisher&disjunctive.frequence&disjunctive.territoire&sort=title&refine.publisher=Ville+de+Bordeaux,62,,,,Ville de Bordeaux,253812,44.837663,-0.579717,ptf,33.0
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Les Républicains,,,,,,,,,,,,,
219200128,Boulogne-Billancourt,Pierre-Christophe Baguet,Union pour la démocratie française,COM,IDF-11,https://boulognebillancourt-seineouest.opendatasoft.com/explore/?sort=title&refine.publisher=Ville+de+Boulogne-Billancourt,14,https://www.data.gouv.fr/fr/organizations/54d8f2a4c751df1df7467389,22,54d8f2a4c751df1df7467389,Ville de Boulogne-Billancourt,119127,48.834945,2.241177,ptf+datagouv,92
213500408,Breteil,Isabelle Ozoux,,COM,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5b236d75c751df4eaa3a9b5e/,6,5b236d75c751df4eaa3a9b5e,,3482,48.144700,-1.898540,datagouv,35
217700533,Brie-Comte-Robert,Jean Laviolette,,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/5b71455e8b4c41290a9c0450/,1,5b71455e8b4c41290a9c0450,,16635,48.691900,2.610080,datagouv,77
214000564,Brocas,Jean-Luc Blanc-Simon,,COM,NAQ-75,http://opendata.brocaslesforges.fr/project/jeux-donnees/,15,https://www.data.gouv.fr/fr/organizations/534fff65a3a7292c64a77d76,106,534fff65a3a7292c64a77d76,Commune de Brocas,808,44.043403,-0.536020,ptf+datagouv,40
216900290,Bron,Jérémie Breaud,,COM,ARA-84,https://data.grandlyon.com/recherche?responsibleParty.organisationName=Ville%20de%20Bron,4,,,,,40694,45.733753,4.909235,ptf,69
8.52356583E8,Brou-sur-Chantereine,Antonio de Carvalho,,COM,IDF-11,https://brou-sur-chantereine-agglo-pvm.opendata.arcgis.com/,2,,,,,4382,48.885684,2.628900,ptf,77.0
2.16401554E8,Bustince-Iriberry,Henry Inchauspe,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5f3400480daf057063028825/,2,5f3400480daf057063028825,,96,43.188229,-1.179966,datagouv,64.0
219400165,Cachan,Jean-Yves Le Bouillonnec,Parti socialiste,COM,IDF-11,https://cachan.opendatasoft.com/explore/?sort=explore.popularity_score&refine.publisher=Ville+de+Cachan,30,,,,,31069,48.794400,2.334250,ptf,94
,,Hélène de Comarmond,,,,,,,,,,,,,,
2.11401187E8,Caen,Joël Bruneau,Union pour un mouvement populaire,COM,NOR-28,,,https://www.data.gouv.fr/fr/organizations/5d9b54b3634f4164bb0bec9d/,5,5d9b54b3634f4164bb0bec9d,,105354,49.181004,-0.369892,datagouv,14.0
215600305,Camoël,Bernard Le Guen,,COM,BRE-53,https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Camoël,2,,,,Camoël,988,47.481600,-2.395320,ptf,56
214900540,Candé,Pascal Crossouard,,COM,PDL-52,https://www.opendata49.fr/index.php?id=38,3,,,,,2937,47.560021,-1.037734,ptf,49
2.16401661E8,Çaro,Robert Garicoitz,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5e6622e5634f417ab82d46ec/,2,5e6622e5634f417ab82d46ec,,64166,43.147250,-1.218058,datagouv,64.0
2.13101132E8,Castanet-Tolosan,Xavier Normand,,COM,OCC-76,https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Commune+de+Castanet-Tolosan,1,,,,Castanet-Tolosan,12833,43.517214,1.498080,ptf,31.0
