siren,nom,chef de l'exécutif,parti politique,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode
225300011,Mayenne,Jean Arthuis,Union pour la démocratie française,DEP,PDL-52,,,https://www.data.gouv.fr/fr/organizations/5aeab860c751df3bca98b623/,292.0,5aeab860c751df3bca98b623,,305021.0,,,datagouv,53
,,,La République en marche,,,,,,,,,,,,,
225400019,Meurthe-et-Moselle,Valérie Beausert-Leick,,DEP,GES-44,http://catalogue.infogeo54.fr/geonetwork/srv/fre/catalog.search#/home,16.0,https://www.data.gouv.fr/fr/organizations/5bc74634634f4144ed36741c/,1.0,5bc74634634f4144ed36741c,,731753.0,,,ptf+datagouv,54
225600014,Morbihan,François Goulard,Union pour un mouvement populaire,DEP,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5c924c1c8b4c41159d78d937/,17.0,5c924c1c8b4c41159d78d937,,751309.0,,,datagouv,56
,,,Démocratie libérale,,,,,,,,,,,,,
,,,Objectif France,,,,,,,,,,,,,
225700012,Moselle,Philippe Leroy,Union pour un mouvement populaire,DEP,GES-44,http://www.moselleopendata.fr/datas,20.0,,,,,1036000.0,,,ptf,57
225800010,Nièvre,,,DEP,BFC-27,https://www.databfc.fr/bfc/portail,38.0,https://www.data.gouv.fr/fr/organizations/59367c42c751df5751fcc925,2.0,59367c42c751df5751fcc925,,201518.0,,,ptf+datagouv,58
225900018,Nord,Jean-René Lecerf,Union pour un mouvement populaire,DEP,HDF-32,https://geonord-lenord.opendata.arcgis.com,7.0,,,,,2604000.0,,,ptf,59
,,,Rassemblement pour la République,,,,,,,,,,,,,
226000016,Oise,Édouard Courtial,Union pour un mouvement populaire,DEP,HDF-32,http://opendata.oise.fr/donnees/,125.0,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d7d,54.0,534fff67a3a7292c64a77d7d,,825207.0,,,ptf+datagouv,60
,,,Union pour la démocratie française,,,,,,,,,,,,,
200012979,PROVINCE DES ILES LOYAUTE - NOUVELLE CALEDONIE,,,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+des+Iles+Loyauté,3.0,,,,,18353.0,,,ptf,988
200012656,PROVINCE NORD - NOUVELLE CALEDONIE,,,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+Nord,6.0,,,,,49910.0,,,ptf,988
2.0001249E8,PROVINCE SUD - NOUVELLE CALEDONIE,,,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+Sud,13.0,,,,,203144.0,,,ptf,988.0
226300010,Puy-de-Dôme,Jean-Yves Gouttebel,Parti socialiste,DEP,ARA-84,http://www.puy-de-dome.fr/opendata.html,24.0,,,,,656643.0,,,ptf,63
226400018,Pyrénées-Atlantiques,Jean-Jacques Lasserre,Union pour la démocratie française,DEP,NAQ-75,https://data.le64.fr/explore/?refine.publisher=D%C3%A9partement+des+Pyr%C3%A9n%C3%A9es-Atlantiques,76.0,,,,Département des Pyrénées-Atlantiques,679354.0,,,ptf,64
2.26600013E8,Pyrénées-Orientales,Hermeline Malherbe,Parti socialiste,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5ab9f242c751df2f936031d6,12.0,5ab9f242c751df2f936031d6,,481691.0,,,datagouv,66.0
227100013,Saône-et-Loire,André Accary,,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/departement-de-saone-et-loire,14.0,https://www.data.gouv.fr/fr/organizations/534fff68a3a7292c64a77d8d,63.0,534fff68a3a7292c64a77d8d,,549763.0,,,ptf+datagouv,71
227200029,Sarthe,Roland du Luart,Union pour un mouvement populaire,DEP,PDL-52,https://data.sarthe.fr/explore/?refine.publisher=Conseil+D%C3%A9partemental+de+la+Sarthe,1.0,,,,Conseil Départemental de la Sarthe,561583.0,,,ptf,72
227300019,Savoie,Hervé Gaymard,Union pour un mouvement populaire,DEP,ARA-84,,,https://www.data.gouv.fr/fr/organizations/59f843bcc751df5a1b4776b6,5.0,59f843bcc751df5a1b4776b6,,432716.0,,,datagouv,73
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Union des démocrates pour la République,,,,,,,,,,,,,
227700010,Seine-et-Marne,Patrick Septiers,Union des démocrates et indépendants,DEP,IDF-11,,,https://www.data.gouv.fr/fr/organizations/5c13da1f8b4c41461f8a544c/,1.0,5c13da1f8b4c41461f8a544c,,1422000.0,,,datagouv,77
227605409,Seine-Maritime,Bertrand Bellanger,,DEP,NOR-28,https://www.opendata76.fr,131.0,,,,,1249000.0,,,ptf,76
229300082,Seine-Saint-Denis,Claude Bartolone,Parti socialiste,DEP,IDF-11,http://data.seine-saint-denis.fr/spip.php?page=data2_rubrique,356.0,https://www.data.gouv.fr/fr/organizations/5457bc26c751df7378225d2e,173.0,5457bc26c751df7378225d2e,,1659000.0,,,ptf+datagouv,93
228000014,Somme,Daniel Dubois,Union pour la démocratie française,DEP,HDF-32,,,https://www.data.gouv.fr/fr/organizations/5919a313c751df1c22411168,1.0,5919a313c751df1c22411168,,569662.0,,,datagouv,80
228300018,Var,Marc Giraud,Les Républicains,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-du-var,9.0,,,,,1076000.0,,,ptf,83
228400016,Vaucluse,Claude Haut,Parti socialiste,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-de-vaucluse,21.0,,,,,563751.0,,,ptf,84
,,,La République en marche,,,,,,,,,,,,,
228600011,Vienne,Alain Pichon,,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59bfe09988ee3809d96507cb/,1.0,59bfe09988ee3809d96507cb,,437368.0,,,datagouv,86
228900015,Yonne,Jean-Marie Rolland,Union pour un mouvement populaire,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/conseil-departemental-de-lyonne,0.0,,,,,338291.0,,,ptf,89
