"nom","type","nb_publi","ouvre_data","pop_insee","CSP_chef","age_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab"
"Nièvre","DEP",38,1,216182,"Retraités des professions libérales",71,28.7,1321,18,4.4,1436.22346624603
"Nord","DEP",7,1,2639070,"Permanents politiques",70,16.4,27024,62,8.8,1112.03305819474
"Oise","DEP",125,1,842804,"Fonctionnaires de catégorie B",60,16.3,6975,80,6.8,1017.01828628008
"Orne","DEP",0,0,294421,"Professions rattachées à enseignt.",62,25,1828,14,4.2,1179.77169488589
"Pas-de-Calais","DEP",0,0,1494330,"Permanents politiques",69,18,9924,59,4.3,1147.33646788862
"Puy-de-Dôme","DEP",24,1,667365,"Retraités de l'enseignement",71,21.2,6315,3,9,1070.58138667746
"Pyrénées-Atlantiques","DEP",7,1,694279,"Retraités agricoles",77,23.4,8236,40,9.3,1029.93620854152
"Hautes-Pyrénées","DEP",39,1,235131,"Retraités des entreprises publiques",75,26.4,2463,31,6.1,1536.07363206043
"Pyrénées-Orientales","DEP",12,1,482567,"Cadres supérieurs (secteur privé)",52,25.5,5870,34,6.5,1340.62349965911
"Bas-Rhin","DEP",100,1,1139258,"Autres professions",55,17.8,11647,68,10.3,944.430005187587
"Haut-Rhin","DEP",0,0,777734,"Fonctionnaires de catégorie A",64,19,6821,67,7.2,901.499978861667
"Rhône","DEP",0,0,464828,"Sans profession déclarée",63,16.7,34631,38,15.7,974.876703619403
"Haute-Saône","DEP",0,0,244305,"Retraités de l'enseignement",72,22.2,1624,25,4.3,1136.41220282025
"Saône-et-Loire","DEP",14,1,572527,"Industriels-Chefs entreprise",55,25,4434,21,5.2,1078.90691942913
"Sarthe","DEP",1,1,582211,"Avocats",62,21.3,3761,49,5.5,1014.90942357668
"Savoie","DEP",7,1,442775,"Grands corps de l'état",61,20,6076,38,8.4,1216.77561709672
"Haute-Savoie","DEP",0,0,823928,"Retraités salariés privés",74,16.5,11273,73,10.1,982.751897811459
"Paris","DEP",315,1,2210875,"Autres professions",62,16.7,76851,92,38.2,3789.94999065076
"Seine-Maritime","DEP",131,1,1280803,"Fonctionnaires de catégorie A",61,19.2,11316,27,7,1190.6386379248
"Seine-et-Marne","DEP",1,1,1419206,"Professeurs du secondaire et techn.",66,14.1,18953,94,8.4,976.914128928429
"Yvelines","DEP",0,0,1458275,"Industriels-Chefs entreprise",63,16.1,21901,75,19.9,936.440865358043
"Deux-Sèvres","DEP",1,1,385495,"Avocats",72,22.7,2481,86,5.3,966.230763771255
"Somme","DEP",1,1,584797,"Vétérinaires",63,19.1,4290,60,6.1,1080.16218132104
"Tarn","DEP",0,0,397929,"Autres cadres (secteur privé)",47,24.6,4103,31,6.3,1203.96776030397
"Tarn-et-Garonne","DEP",0,0,263125,"Retraités agricoles",71,21.6,2704,31,5.5,1283.45355462233
"Var","DEP",9,1,1073201,"Retraités fonct.publique (sf enseig.)",70,25.5,16786,13,7.8,1109.38483907488
"Vaucluse","DEP",21,1,570921,"Retraités de l'enseignement",77,21.4,7875,13,7.4,1144.48424291627
"Vendée","DEP",0,0,689496,"Retr.artis.commerc.chefs d'entrep.",67,23.5,5526,44,4.4,960.811725144163
"Vienne","DEP",1,1,447026,"Pharmaciens",59,21.3,3822,79,7.7,1002.88024745764
"Haute-Vienne","DEP",0,0,383215,"Professeurs du secondaire et techn.",68,24.1,3263,19,7,1105.94799786021
"Vosges","DEP",0,0,382328,"Autres professions",58,23.2,2750,54,4.2,1182.27554107991
"Yonne","DEP",0,0,350970,"Retr.artis.commerc.chefs d'entrep.",69,23.5,2749,21,4.8,1089.8823032168
"Territoire de Belfort","DEP",0,0,147347,"Permanents politiques",43,19.2,1354,25,8.7,1057.26233998656
"Essonne","DEP",0,0,1305061,"Autres professions libérales",50,14.7,19626,77,13,1107.93713630244
"Hauts-de-Seine","DEP",138,1,1622143,"Autres professions",76,15.1,32480,75,29.5,1160.25193383074
"Seine-Saint-Denis","DEP",356,1,1616311,"Fonctionnaires de catégorie A",51,11.7,35012,77,9.4,1425.54906030461
"Val-de-Marne","DEP",0,0,1389336,"Permanents politiques",70,14.7,26168,75,17,1294.75983533861
"Val-d'Oise","DEP",0,0,1237218,"Retraités de l'enseignement",75,13.3,20790,60,10.3,990.39290963274
"Bourg-en-Bresse","COM",0,0,43454,"Grands corps de l'état",55,22.1,574,1289,7.4,1794.27441478345
"Ferney-Voltaire","COM",0,0,9800,"Fonctionnaires de catégorie B",65,12.7,131,1313,29.2,2554.31705510204
"Saint-Quentin","COM",68,1,55940,"Autres professions",43,21.2,450,80021,6.1,1547.04330532714
"Moulins","COM",0,0,20321,"Ingénieurs",74,25.2,169,3321,7.1,1318.70412873382
"Antibes","COM",107,1,74982,"Retraités des entreprises publiques",73,26.7,1630,6155,15,2988.6701712411
"Cagnes-sur-Mer","COM",0,0,50385,"Retraités de l'enseignement",74,27.3,893,6088,10.8,1170.90695365684
"Cannes","COM",0,0,75046,"Industriels-Chefs entreprise",52,29.8,1755,6030,9.2,3756.05301201929
"Menton","COM",1,1,28942,"Retraités des entreprises publiques",80,26.6,472,6104,6.4,2825.7016253196
"Nice","COM",82,1,345998,"Autres professions",66,23.8,7984,75056,13.2,1995.52292175099
"Villeneuve-Loubet","COM",2,1,14844,"Professions rattachées à enseignt.",66,19.6,370,6027,15,2221.19601926704
"Sedan","COM",0,0,17267,"Professeurs du secondaire et techn.",57,22.5,99,94076,4.3,1626.788994614
"Troyes","COM",0,0,61988,"Avocats",56,18,813,10333,8.1,1631.016957153
"Carcassonne","COM",0,0,47418,"Avocats",79,23.5,586,31555,7.6,1854.77280442026
"Limoux","COM",0,0,10671,"Retraités salariés privés",77,29.5,111,11069,4.9,1382.43828507169
"Rodez","COM",7,1,25747,"Retraités des entreprises publiques",68,22.1,312,31555,10.1,1760.72589194858
"Villefranche-de-Rouergue","COM",0,0,12601,"Retraités fonct.publique (sf enseig.)",74,31.9,109,31555,5.2,1676.14469089755
"Aix-en-Provence","COM",3,1,146385,"Avocats",78,19,3128,13055,24,1673.94450845374
"Allauch","COM",0,0,21484,"Cadres supérieurs (secteur privé)",79,21.9,284,13055,13.4,1393.5655013033
"Arles","COM",0,0,53807,"Fonctionnaires de catégorie A",65,23.9,697,13055,7.6,1940.61476889624
"Bouc-Bel-Air","COM",0,0,14787,"Retraités des professions libérales",72,22.5,214,13001,20,1663.06978765132
"Gardanne","COM",0,0,20761,"Retraités de l'enseignement",86,19.1,299,13001,7.8,2025.36130870382
"Istres","COM",33,1,44248,"Administrateurs de sociétés",67,17.9,486,13056,5.7,2896.834999548
"Marseille","COM",35,1,870018,"Retraités de l'enseignement",81,19,15667,13001,12.8,1605.28806944224
"Martigues","COM",15,1,49310,"Retraités de l'enseignement",79,22.1,560,13077,7.2,3169.09020036504
"Bayeux","COM",0,0,13875,"Agents immobiliers",61,27.8,126,14118,6.7,1943.86035531532
"Caen","COM",5,1,108461,"Administrateurs de sociétés",57,17.6,1790,14327,16.1,1402.20419514849
"Hérouville-Saint-Clair","COM",0,0,22997,"Commercants",58,15.7,281,14118,8.8,1702.77333304344
"Angoulême","COM",0,0,44629,"Permanents politiques",41,19.6,557,16374,11.1,2133.44626162361
"Saint-Yrieix-sur-Charente","COM",0,0,7537,"Retraités de l'enseignement",69,24.2,74,16015,8.9,917.223661934457
"La Rochelle","COM",374,1,78623,"Retr.artis.commerc.chefs d'entrep.",70,23.5,1340,17291,13.2,2118.48817203617
"Bourges","COM",0,0,67841,"Ingénieurs",61,22.7,660,18205,10.1,1709.34684866084
"Vierzon","COM",0,0,27036,"Permanents politiques",53,28,204,18033,3.5,1810.21593578932
"Brive-la-Gaillarde","COM",0,0,48333,"Cadres supérieurs (secteur privé)",55,27.1,482,87085,7.2,2073.3158543852
"Tulle","COM",0,0,15211,"Fonctionnaires de catégorie A",61,23.9,107,19101,5.6,1634.11749194662
"Beaune","COM",0,0,22387,"Avocats",69,23.2,243,21231,7.9,1319.60252021262
"Dijon","COM",0,0,159031,"Grands corps de l'état",70,17.6,2290,75056,15.1,1379.62122774805
"Dinan","COM",0,0,14861,"Professeurs de faculté",59,28.9,157,35238,8.8,1675.03462687572
"Plérin","COM",6,1,14324,"Professeurs du secondaire et techn.",58,25.1,154,22278,10.7,1443.32379712371
"Bergerac","COM",3,1,28166,"Retraités fonct.publique (sf enseig.)",73,30.7,321,24340,6.8,1576.61495562025
"Besançon","COM",10,1,120107,"Agents technique et techniciens",74,18,1454,21231,13.5,1459.70432889007
"Bourg-de-Péage","COM",0,0,10742,"Autres cadres (secteur privé)",52,23,117,26281,5.8,1186.59647179296
"Montélimar","COM",0,0,39924,"Cadres supérieurs (secteur privé)",55,21.4,504,7319,8.1,1217.65217287847
"Romans-sur-Isère","COM",0,0,34095,"Cadres supérieurs (secteur privé)",55,23.2,455,26057,6.7,1489.52462883121
"Valence","COM",0,0,64322,"Industriels-Chefs entreprise",49,20.9,1027,26058,10.5,1668.99928127235
"Évreux","COM",0,0,51560,"Médecins",58,16.8,534,27017,8.3,1809.6413465865
"Vernon","COM",0,0,24661,"Cadres supérieurs (secteur privé)",36,18.6,281,27562,11.3,1434.85301123231
"Val-de-Reuil","COM",0,0,13601,"Magistrats",62,6.9,99,27375,3,2694.83791632968
"Chartres","COM",0,0,40195,"Cadres supérieurs (secteur privé)",67,21.3,510,28218,12.1,2358.09385023013
"Dreux","COM",1,1,31575,"Retr.artis.commerc.chefs d'entrep.",76,16,366,28404,5.8,2012.89491021378
"Brest","COM",0,0,142629,"Autres professions",66,16.5,1350,35238,12.5,959.578727467766
"Morlaix","COM",0,0,15446,"Professeurs du secondaire et techn.",59,22.8,141,29254,8.2,1860.3931548621
"Pont-l'Abbé","COM",2,1,8633,"Autres professions libérales",47,29.3,78,29174,6.8,1341.32984825669
"Alès","COM",0,0,41129,"Retraités de l'enseignement",76,25.5,493,30189,5.3,1474.86210605655
"Beaucaire","COM",0,0,16047,"Permanents politiques",37,18.4,160,13108,3.4,1619.62365675827
"Nîmes","COM",0,0,154196,"Retr.artis.commerc.chefs d'entrep.",75,20.7,2156,34172,9.5,1868.06209350437
"Villeneuve-lès-Avignon","COM",0,0,12314,"Pharmaciens",70,27.8,160,30011,19.3,1425.24121568946
"Balma","COM",4,1,16704,"Autres professions libérales",42,20.6,295,31555,23.9,1252.6674634818
"Castelginest","COM",0,0,10342,"Retraités fonct.publique (sf enseig.)",72,18.2,119,31555,9.7,1409.35392380584
"Frouzins","COM",0,0,9088,"Retraités fonct.publique (sf enseig.)",79,17.2,115,31547,12.4,814.344340889084
"Toulouse","COM",213,1,482738,"Grands corps de l'état",60,13,10784,75056,24.5,1422.54309244352
"Arcachon","COM",0,0,11400,"Avocats",62,51.6,168,33529,12.5,4303.66011403509
"Bordeaux","COM",62,1,256045,"Cadres supérieurs (secteur privé)",52,14.4,7195,75056,24.7,1565.45567685368
"Cestas","COM",0,0,17087,"Autres retraités",78,26.1,185,33318,13.7,1714.28730204249
"Gujan-Mestras","COM",0,0,21435,"Avocats",71,27,296,33529,8.3,1469.49814555633
"Libourne","COM",19,1,25491,"Autres professions libérales",51,21.3,349,33063,7.7,2250.82039661057
"Mérignac","COM",0,0,71203,"Avocats",70,17.4,1214,33063,15.2,1223.10324171734
"Le Teich","COM",0,0,7884,"Agents généraux d'assurances",64,18.5,130,33199,6.1,1529.59497463217
"Agde","COM",0,0,28120,"Permanents politiques",53,30.8,435,34172,5.5,3627.05617460882
"Béziers","COM",0,0,77894,"Journalistes et autres médias",68,23,1231,34172,6.6,1911.23961524636
"Grabels","COM",23,1,8374,"Retraités de l'enseignement",73,14.6,126,34172,17.9,1226.61176856938
"Montpellier","COM",105,1,286098,"Dentistes",63,14.3,6753,34057,20,1402.4985667149
"Sète","COM",27,1,44271,"Chirurgiens",71,30.4,569,34108,7.9,2496.71453728174
"Rennes","COM",145,1,222104,"Fonctionnaires de catégorie A",46,14.5,3542,75056,20.9,1638.25425633937
"Le Rheu","COM",0,0,8859,"Ingénieurs",48,13.7,94,35238,14.5,1278.12929111638
"Saint-Jacques-de-la-Lande","COM",11,1,13114,"Autres professions",52,10.5,181,35238,10.6,1489.78395989019
"Saint-Malo","COM",53,1,47528,"Retraités des entreprises publiques",73,31.2,596,35238,9.9,1952.53734914156
"Vitré","COM",0,0,18448,"Retraités fonct.publique (sf enseig.)",82,20.9,198,35238,7,1750.67845023851
"Déols","COM",0,0,7728,"Retraités fonct.publique (sf enseig.)",79,23.3,61,36044,3.1,1275.57279114907
"Saint-Cyr-sur-Loire","COM",0,0,16092,"Industriels-Chefs entreprise",60,27.6,199,37261,15.6,2082.15917225951
"Saint-Pierre-des-Corps","COM",0,0,16290,"Retraités de l'enseignement",74,20.1,197,37261,6.4,1783.68533333333
"Tours","COM",0,0,139963,"Industriels-Chefs entreprise",58,18.6,2088,37122,14.3,1517.54083722127
"Bourgoin-Jallieu","COM",0,0,28399,"Grands corps de l'état",49,19,474,38193,8.2,1481.24713264552
"Grenoble","COM",57,1,160836,"Ingénieurs",48,15.6,2830,38421,23.5,1885.97539891567
"Le Pont-de-Claix","COM",3,1,10769,"Professeurs de faculté",52,17.3,108,38151,3.7,2825.43454452595
"Lons-le-Saunier","COM",0,0,18149,"Avocats",75,27.1,173,25056,7.7,1639.73551986335
"Blois","COM",14,1,47524,"Sans profession déclarée",60,19.8,625,41047,10.1,2010.95938367982
"Roanne","COM",0,0,35913,"Avocats",58,26.8,466,42184,5.4,1555.25190126138
"Saint-Étienne","COM",0,0,174298,"Cadres (entreprises publiques)",49,20.4,2544,69123,8.9,1780.23363997292
"Nantes","COM",147,1,314611,"Fonctionnaires de catégorie A",42,14.3,5887,75056,22.2,1473.57765879133
"Saint-Nazaire","COM",13,1,72295,"Employés (secteur privé)",51,22.4,648,44109,7.5,1808.11491555433
"Orléans","COM",0,0,118102,"Sans profession déclarée",60,15.4,1599,45232,15.4,1709.28375743002
"Agen","COM",5,1,34565,"Ingénieurs",64,19.2,503,31555,8.8,1774.43942977
"Angers","COM",45,1,155543,"Autres professions",47,17.3,2006,44109,14,1918.60791408164
"Avrillé","COM",0,0,14066,"Médecins",75,26.6,109,49007,13.8,1740.45052395848
"Cholet","COM",0,0,55772,"Avocats",61,21.8,472,49007,6.6,971.560630782471
"Trélazé","COM",0,0,14642,"Retraités salariés privés",81,14.2,155,49007,5.8,1390.25905682284
"Cherbourg-en-Cotentin","COM",0,0,82578,"Cadres supérieurs (secteur privé)",46,20,508,50041,7.3,1937.20046949551
"Châlons-en-Champagne","COM",1,1,46288,"Permanents politiques",51,19,370,51454,6.3,1781.1187795973
"Épernay","COM",0,0,23584,"Avocats",58,20.9,146,51454,6.6,2600.08504324966
"Reims","COM",0,0,187074,"Permanents politiques",46,15.7,2453,75056,11.7,1513.65386809498
"Vitry-le-François","COM",0,0,12969,"Fonctionnaires de catégorie A",69,22.4,87,51262,3.9,1420.7843850721
"Laval","COM",0,0,52359,"Avocats",62,20.9,860,53054,9.4,1367.71785633797
"Longwy","COM",0,0,15076,"Retraités des entreprises publiques",62,19.9,101,54382,5.3,1544.0229815601
"Lunéville","COM",0,0,19161,"Vétérinaires",68,21.2,153,54395,4.6,1528.00490005741
"Nancy","COM",5,1,106953,"Avocats",52,14.4,1618,54547,21.2,1375.81607042346
"Lorient","COM",23,1,58789,"Professeurs du secondaire et techn.",74,20.9,692,56098,8.6,1679.95476483696
"Vannes","COM",0,0,55573,"Fonctionnaires de catégorie A",51,24.9,691,35238,13.1,1698.86967178306
"Forbach","COM",0,0,21967,"Retraités de l'enseignement",66,19.4,179,57660,4.7,1456.30777256794
"Hayange","COM",0,0,15942,"Magistrats",42,19.6,104,57672,3.4,1014.80654999373
"Metz","COM",0,0,119856,"Retraités fonct.publique (sf enseig.)",78,16.3,1539,57480,13.5,1580.61429607195
"Montigny-lès-Metz","COM",0,0,22143,"Cadres supérieurs (secteur privé)",61,22.4,163,57463,10.6,1121.76771530506
"Villeneuve-d'Ascq","COM",7,1,63085,"Retraités de l'enseignement",76,12.4,972,59350,17.2,1696.99964999604
"Cambrai","COM",0,0,33349,"Retraités des professions libérales",71,21,268,59428,5.9,1445.92247143842
"Douai","COM",0,0,40860,"Fonctionnaires de catégorie A",46,17.2,452,59569,8,1780.83286441508
"Grande-Synthe","COM",0,0,23494,"Autres professions",60,13.8,126,59183,2,2985.71392781136
"Hautmont","COM",0,0,14671,"Retr.artis.commerc.chefs d'entrep.",72,16.7,62,59392,2.4,1735.87637788835
"Lille","COM",28,1,236782,"Grands corps de l'état",70,10.7,5270,75056,24.5,1735.48947352417
"Marcq-en-Barœul","COM",0,0,39697,"Avocats",67,19.4,639,59350,25.8,1482.86606469003
"Marly","COM",0,0,11591,"Autres professions",69,21.4,109,59606,5.5,1479.82953067035
"Saint-Saulve","COM",0,0,11303,"Autres retraités",85,20.3,95,59606,9.5,1350.07520835177
"Téteghem-Coudekerque-Village","COM",0,0,8360,"Industriels-Chefs entreprise",59,17,61,59183,7.6,1474.2177284689
"Valenciennes","COM",0,0,44509,"Autres cadres (secteur privé)",55,16.1,621,59350,12.5,3006.03722977375
"Wattrelos","COM",0,0,41570,"Cadres sup. (entreprises publiques)",61,16,322,59599,2.7,1347.93467067597
"Waziers","COM",0,0,7528,"Agents technique et techniciens",73,15.2,58,59178,2.2,1470.30216923486
"Beauvais","COM",1,1,57548,"Agriculteurs propriétaires exploit.",72,16.7,553,80021,7.6,1780.51834642385
"Compiègne","COM",0,0,41660,"Permanents politiques",71,17.9,483,60382,15.4,1615.80624483917
"Montataire","COM",0,0,13523,"Ouvriers (secteur privé)",62,13.3,121,60175,3.4,1783.62645862604
"Arras","COM",0,0,41973,"Professions rattachées à enseignt.",52,16.8,510,62004,10.5,1607.83462035118
"Boulogne-sur-Mer","COM",0,0,42293,"Professeurs de faculté",52,17.9,401,62758,5.7,1696.5890769158
"Bruay-la-Buissière","COM",0,0,22647,"Fonctionnaires de catégorie A",42,19.4,157,62270,2,1622.87087870358
"Calais","COM",0,0,75719,"Autres professions",58,15.7,510,62548,3.3,1735.07441593259
"Hénin-Beaumont","COM",0,0,26260,"Cadres (entreprises publiques)",48,16.4,212,62624,3.8,1911.98021210967
"Chamalières","COM",0,0,17999,"Administrateurs de sociétés",62,27.9,207,63113,21.3,1282.94620034446
"Clermont-Ferrand","COM",0,0,146112,"Sans profession déclarée",51,16.9,2088,63075,14.5,1476.29278820357
"Thiers","COM",0,0,12086,"Fonctionnaires de catégorie A",63,24.8,107,63113,5.2,1979.07024242926
