"nom","type","nb_publi","ouvre_data","pop_insee","CSP_chef","age_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab"
"Bayonne","COM",52,1,51943,"Avocats",69,20.3,946,64024,11.6,1963.7155691816
"Pau","COM",0,0,79022,"Retraités de l'enseignement",70,22.8,1100,64129,13.6,1954.14880767381
"Tarbes","COM",2,1,41862,"Autres retraités",76,24.7,606,31555,7.4,2202.34575486121
"Le Barcarès","COM",0,0,5957,"Industriels-Chefs entreprise",61,37.1,69,66180,4.2,5116.90805774719
"Cabestany","COM",0,0,10030,"Retraités salariés privés",79,27.1,143,66136,8.6,1333.39793918245
"Perpignan","COM",0,0,123602,"Avocats",72,22.2,1722,66028,8.2,1766.46804315464
"Rivesaltes","COM",0,0,8814,"Retraités salariés privés",77,22.1,112,66136,4.9,1713.84755956433
"Lingolsheim","COM",0,0,18740,"Autres retraités",70,19.8,227,67482,9.5,921.634859124867
"Strasbourg","COM",0,0,283515,"Retraités de l'enseignement",76,14.2,4510,67447,20.1,1695.76257623053
"Colmar","COM",0,0,71445,"Retraités fonct.publique (sf enseig.)",79,18.7,659,67482,10.1,1755.73045811463
"Kingersheim","COM",0,0,13336,"Retraités de l'enseignement",69,20.2,129,68224,5,1166.35447885423
"Mulhouse","COM",43,1,110468,"Artisans",62,15.8,1519,68271,7.9,2088.33697595684
"Pfastatt","COM",0,0,9626,"Retraités salariés privés",74,22,94,68224,6.8,1142.38378661957
"Caluire-et-Cuire","COM",0,0,43546,"Industriels-Chefs entreprise",60,21.9,783,69123,20.7,1047.27441556056
"Lyon","COM",16,1,523164,"Professeurs du secondaire et techn.",74,14.8,13101,69266,27,1483.95882849355
"Vaulx-en-Velin","COM",6,1,48906,"Professeurs de faculté",51,11.3,958,69123,4.9,2000.46568008015
"Villeurbanne","COM",3,1,150375,"Professeurs de faculté",75,13.9,3412,69123,17.5,1198.52041203658
"Mâcon","COM",0,0,34448,"Retraités fonct.publique (sf enseig.)",70,22.4,400,69123,7.7,2254.27313051556
"Montceau-les-Mines","COM",0,0,19210,"Professeurs du secondaire et techn.",65,28.4,165,71486,3.1,1340.66686985945
"Coulaines","COM",0,0,7587,"Fonctionnaires de catégorie A",54,19.8,59,72181,4.7,1139.33622116779
"Le Mans","COM",24,1,146804,"Professeurs du secondaire et techn.",61,21.2,1525,49007,9.9,1241.64639873573
"Sablé-sur-Sarthe","COM",0,0,12879,"Permanents politiques",53,23.4,73,72181,4.1,1490.27409503843
"Chambéry","COM",13,1,60872,"Fonctionnaires de catégorie A",61,18.7,944,73179,12.4,2093.69860543435
"Annecy","COM",0,0,130257,"Cadres sup. (entreprises publiques)",62,20.2,2243,69123,13.7,1886.13546918784
"Annemasse","COM",0,0,35461,"Retraités de l'enseignement",75,12.2,658,74298,7.5,1761.86432390514
"Paris","COM",276,1,2210875,"Autres professions",62,16.7,76851,92012,38.2,3789.94999065076
"Déville-lès-Rouen","COM",0,0,10465,"Retraités de l'enseignement",73,17.3,99,76540,7.3,1337.72736263736
"Le Grand-Quevilly","COM",0,0,26175,"Autres professions",85,24,177,76575,3,1561.61403514804
"Le Havre","COM",157,1,172769,"Professeurs du secondaire et techn.",54,19.2,1761,76447,7,1635.52905191325
"Montivilliers","COM",0,0,16215,"Retraités des professions libérales",73,21.2,105,76351,6.9,1695.40567869257
"Octeville-sur-Mer","COM",3,1,5966,"Agents technique et techniciens",63,18,52,76351,10,1328.13757961783
"Rouen","COM",0,0,112596,"Retraités fonct.publique (sf enseig.)",71,14.7,2135,75056,17.8,1557.24903779886
"Sotteville-lès-Rouen","COM",0,0,29766,"Fonctionnaires de catégorie A",65,19.9,351,76540,6.5,1329.13228582947
"Combs-la-Ville","COM",11,1,22393,"Professions rattachées à enseignt.",72,14.4,258,77251,8.6,1573.71409101058
"Meaux","COM",0,0,56249,"Autres professions",57,12.5,892,77513,6.9,1868.62310618855
"Melun","COM",0,0,41183,"Professeurs de faculté",66,11.9,772,77285,10.5,2062.57695262608
"Conflans-Sainte-Honorine","COM",0,0,36058,"Cadres supérieurs (secteur privé)",35,15.7,545,95218,14.4,1753.13891868656
"Élancourt","COM",0,0,25829,"Industriels-Chefs entreprise",67,13.1,361,78383,14.9,1732.18538270936
"Houilles","COM",0,0,32064,"Retr.artis.commerc.chefs d'entrep.",72,14.1,453,78586,22.4,1539.51213884731
"Maisons-Laffitte","COM",0,0,23967,"Grands corps de l'état",73,18.9,407,75056,35.5,1734.53916843994
"Mantes-la-Ville","COM",0,0,19970,"Professeurs du secondaire et techn.",39,14.9,296,78361,6,1375.10935603405
"Poissy","COM",0,0,37524,"Journalistes et autres médias",52,16.8,683,78123,16.2,1956.3064454749
