siren,nom,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,nb_crea_entps,flux_migration_res,niveau_vie,part_diplomes,depenses_hab
243100773,CC VAL AIGO,CC,OCC-76,https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Communaut%C3%A9+de+Communes+de+Val+A%C3%AFgo,1,,,,Communauté de Communes de Val Aïgo,17230,,,ptf,31,VAL AIGO,18.5,191,243100518,21840,6.9,647.638193714286
243400470,TRANSP'OR CA PAYS DE L'OR,CA,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5c0f9f618b4c41745fb43104/,1,5c0f9f618b4c41745fb43104,,44673,,,datagouv,34,TRANSP'OR L'OR,,,,,,1295.91286979706
243400769,CA DE BEZIERS MEDITERRANEE,CA,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5b6c2e4b8b4c41287663df35/,1,5b6c2e4b8b4c41287663df35,,123613,,,datagouv,34,BEZIERS MEDITERRANEE,24.8,1795,243400488,17940,5.9,1007.51717537186
243400819,CA HERAULT MEDITERRANEE,CA,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5bac83c9634f4106bc21d00b/,3,5bac83c9634f4106bc21d00b,,77450,,,datagouv,34,HERAULT MEDITERRANEE,27.2,1062,243400017,19070,5.4,1246.90159550107
243500550,CC MONFORT COMMUNAUTE,CC,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5b18fb70c751df1da631a2da/,4,5b18fb70c751df1da631a2da,,25337,,,datagouv,35,MONFORT,15.6,178,243500139,22820,7.2,391.308465911288
243500741,CA REDON AGGLOMERATION,CA,BRE-53,,,https://www.data.gouv.fr/fr/organizations/59679365c751df12bcc44bba,8,59679365c751df12bcc44bba,,66091,,,datagouv,35,REDON,22,500,243500139,20250,4,584.874158775552
243500782,CA DU PAYS DE SAINT MALO,CA,BRE-53,https://data.stmalo-agglomeration.fr/explore/?refine.publisher=SAINT-MALO+AGGLOMERATION,25,https://www.data.gouv.fr/fr/organizations/5492db21c751df7a9c04805a,6,5492db21c751df7a9c04805a,SAINT-MALO AGGLOMERATION,84407,,,ptf+datagouv,35,PAYS DE SAINT MALO,,,,,,902.682186407767
243600327,CA CHATEAUROUX METROPOLE,CA,CVL-24,https://data.chateauroux-metropole.fr/explore/?sort=title&refine.publisher=CHATEAUROUX+METROPOLE,63,https://www.data.gouv.fr/fr/organizations/5bf67a998b4c417eae692920/,79,5bf67a998b4c417eae692920,CHATEAUROUX METROPOLE,73617,,,ptf+datagouv,36,CHATEAUROUX METROPOLE,22.7,593,243600301,20690,5.3,1033.186997363
243800604,CA PORTE DE L'ISERE,CA,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5c516739634f4121096513af/,2,5c516739634f4121096513af,,104941,,,datagouv,38,PORTE DE L'ISERE,,,,,,1159.73575384758
244400610,CA DE LA PRESQU'ILE DE GUERANDE ATLANTIQUE,CA,PDL-52,https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Cap+Atlantique,22,https://www.data.gouv.fr/fr/organizations/5cb0688e8b4c410c0750754c/,42,5cb0688e8b4c410c0750754c,Cap Atlantique,73599,,,ptf+datagouv,44,PRESQU'ILE DE GUERANDE ATLANTIQUE,,,,,,954.69513200862
