siren,nom,parti_politique,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,part_etudiants,Mode
221600018,Charente,Parti socialiste,DEP,NAQ-75,https://data16.lacharente.fr/donnees/recherche/,57,,,,,350240,,,ptf,16,CHARENTE,24.5,20640,5.5,8.2,3129,468,17,1213.18990544084,1.2,urbain densité intermédiaire
221700016,Charente-Maritime,Union pour un mouvement populaire,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59b6449a88ee38073588ac9d,1,59b6449a88ee38073588ac9d,,646016,,,datagouv,17,CHARENTE-MARITIME,26.6,21280,6.2,8.7,7558,2321,33,1200.7110722105,2.5,"rural autonome peu dense, urbain densité intermédiaire"
221700016,Charente-Maritime,Union pour la démocratie française,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59b6449a88ee38073588ac9d,1,59b6449a88ee38073588ac9d,,646016,,,datagouv,17,CHARENTE-MARITIME,26.6,21280,6.2,8.7,7558,2321,33,1200.7110722105,2.5,"rural autonome peu dense, urbain densité intermédiaire"
221700016,Charente-Maritime,Démocratie libérale,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59b6449a88ee38073588ac9d,1,59b6449a88ee38073588ac9d,,646016,,,datagouv,17,CHARENTE-MARITIME,26.6,21280,6.2,8.7,7558,2321,33,1200.7110722105,2.5,"rural autonome peu dense, urbain densité intermédiaire"
221700016,Charente-Maritime,Libres,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59b6449a88ee38073588ac9d,1,59b6449a88ee38073588ac9d,,646016,,,datagouv,17,CHARENTE-MARITIME,26.6,21280,6.2,8.7,7558,2321,33,1200.7110722105,2.5,"rural autonome peu dense, urbain densité intermédiaire"
222100018,Côte-d'Or,Union pour la démocratie française,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/conseil-departemental-de-cote-dor,3,,,,,533819,,,ptf,21,COTE-D'OR,20.3,22400,9.1,6.8,5709,2544,71,1024.57105076986,7.1,urbain dense
222100018,Côte-d'Or,Démocratie libérale,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/conseil-departemental-de-cote-dor,3,,,,,533819,,,ptf,21,COTE-D'OR,20.3,22400,9.1,6.8,5709,2544,71,1024.57105076986,7.1,urbain dense
222100018,Côte-d'Or,Les Républicains,DEP,BFC-27,https://trouver.ternum-bfc.fr/organization/conseil-departemental-de-cote-dor,3,,,,,533819,,,ptf,21,COTE-D'OR,20.3,22400,9.1,6.8,5709,2544,71,1024.57105076986,7.1,urbain dense
222200016,Côtes-d'Armor,Les Républicains,DEP,BRE-53,http://datarmor.cotesdarmor.fr/web/guest/donnees,133,https://www.data.gouv.fr/fr/organizations/54aff788c751df39e138127d,128,54aff788c751df39e138127d,,596518,,,ptf+datagouv,22,COTES-D'ARMOR,25.2,21230,6,7.4,4164,1168,35,1024.9582570439,1.4,urbain densité intermédiaire
227900016,Deux-Sèvres,Parti socialiste,DEP,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/59ba4600c751df6bbdb72c11,1,59ba4600c751df6bbdb72c11,,374873,,,datagouv,79,DEUX-SEVRES,22.7,20840,5.3,6.1,2481,455,86,966.230763771255,0.7,
222500019,Doubs,Union pour un mouvement populaire,DEP,BFC-27,https://opendata.doubs.fr/explore/?refine.publisher=CD25,28,,,,CD25,539465,,,ptf,25,DOUBS,19.1,22590,7.5,7.6,4920,1082,70,975.293708395839,4.9,urbain dense
222500019,Doubs,Divers Droite,DEP,BFC-27,https://opendata.doubs.fr/explore/?refine.publisher=CD25,28,,,,CD25,539465,,,ptf,25,DOUBS,19.1,22590,7.5,7.6,4920,1082,70,975.293708395839,4.9,urbain dense
222702292,Eure,Union pour un mouvement populaire,DEP,NOR-28,https://opendata.eure.fr/search,32,,,,,606419,,,ptf,27,EURE,18.5,21700,5.6,8.5,4852,620,76,878.218953206698,0.5,urbain densité intermédiaire
222702292,Eure,Les Républicains,DEP,NOR-28,https://opendata.eure.fr/search,32,,,,,606419,,,ptf,27,EURE,18.5,21700,5.6,8.5,4852,620,76,878.218953206698,0.5,urbain densité intermédiaire
222702292,Eure,La République en marche,DEP,NOR-28,https://opendata.eure.fr/search,32,,,,,606419,,,ptf,27,EURE,18.5,21700,5.6,8.5,4852,620,76,878.218953206698,0.5,urbain densité intermédiaire
222800013,Eure-et-Loir,Les Républicains,DEP,CVL-24,https://data.eurelien.fr/explore/?refine.publisher=CD28,29,https://www.data.gouv.fr/fr/organizations/58b3e7e588ee3814c598d150,29,58b3e7e588ee3814c598d150,CD28,431437,,,ptf+datagouv,28,EURE-ET-LOIR,19.8,22070,5.7,8.1,3604,719,78,1106.26270804279,0.6,urbain densité intermédiaire
222900011,Finistère,Parti socialiste,DEP,BRE-53,https://opendata.finistere.fr/explore/?refine.publisher=D%C3%A9partement+du+Finist%C3%A8re,45,https://www.data.gouv.fr/fr/organizations/5a86b30588ee38553adbaa6e/,46,5a86b30588ee38553adbaa6e,Département du Finistère,905238,,,ptf+datagouv,29,FINISTERE,22.3,21690,7.7,7.3,6930,1946,56,937.278806181335,3.6,urbain densité intermédiaire
223200015,Gers,Parti socialiste,DEP,OCC-76,https://data.gers.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Département+du+Gers,19,https://www.data.gouv.fr/fr/organizations/5d2485a58b4c417f5f478a9f/,19,56f3b0a6c751df13e653faef,Département du Gers,189326,,,ptf+datagouv,32,GERS,26.9,20820,6.3,6.3,1886,221,31,1336.27550439472,0.7,
