"nom","type","nb_publi","ouvre_data","code_region","code_departement","nb_ptf","nb_datagouv","pop_insee","CSP_chef","age_chef","partis_po_chef","part_plus65","nb_crea_entps","flux_migration_res","niveau_vie","part_diplomes","depenses_hab"
"CA de la Région de Compiègne et de la Basse Automne","CA",1,1,32,60,0,1,84953,"Permanents politiques",71,"Union pour un mouvement populaire",17.4,814,200054781,22050,12.4,814.861481760503
"CA de la Région de Compiègne et de la Basse Automne","CA",1,1,32,60,0,1,84953,"Permanents politiques",71,"Rassemblement pour la République",17.4,814,200054781,22050,12.4,814.861481760503
"CA de la Région Dieppoise","CA",1,1,28,76,0,1,48899,"Retraités de l'enseignement",70,NA,24.9,376,247600729,19680,5.6,743.113982290026
"CA de la Région Nazairienne et de l'Estuaire (CARENE)","CA",22,1,52,44,22,0,128035,"Employés (secteur privé)",51,"Parti socialiste",21.5,1091,244400404,21510,6.4,1335.99829007693
"CA de la Riviera Française","CA",0,0,93,6,0,0,73563,"Retraités des entreprises publiques",80,"Union pour un mouvement populaire",24.3,1097,200030195,22110,7,734.462873727281
"CA de la Riviera Française","CA",0,0,93,6,0,0,73563,"Retraités des entreprises publiques",80,"Union pour la démocratie française",24.3,1097,200030195,22110,7,734.462873727281
"CA de la Riviera Française","CA",0,0,93,6,0,0,73563,"Retraités des entreprises publiques",80,"Rassemblement pour la République",24.3,1097,200030195,22110,7,734.462873727281
"CA de la Riviera Française","CA",0,0,93,6,0,0,73563,"Retraités des entreprises publiques",80,"Les Républicains",24.3,1097,200030195,22110,7,734.462873727281
"CA de la Rochelle","CA",28,1,75,17,28,2,173780,"Retr.artis.commerc.chefs d'entrep.",70,"Parti socialiste",23.9,2558,200041499,22740,10.6,1077.35161497295
"CA de Lamballe Terre et Mer","CA",0,0,53,22,0,0,69133,"Autres cadres (secteur privé)",67,NA,23.3,440,200069409,21840,5,979.198818075304
"CA de Laval Agglomération","CA",0,0,52,53,0,0,117515,NA,NA,NA,19.2,1294,243500139,21680,7.2,805.312264987448
"CA de Lens - Liévin","CA",0,0,32,62,0,0,244709,"Fonctionnaires de catégorie A",49,NA,17.2,1623,200072460,17580,3.2,662.704783150599
"CA de Longwy","CA",0,0,44,54,0,0,62399,"Cadres (entreprises publiques)",63,NA,18.5,340,200043693,21220,4.8,524.861037356368
"CA de Nevers","CA",9,1,27,58,9,1,68680,"Avocats",54,NA,25.1,451,200068088,20470,5.5,825.754145894001
"CA de Nîmes Métropole","CA",34,1,76,30,34,0,262891,"Professions rattachées à enseignt.",67,"Union pour la démocratie française",20.4,3339,243400017,19550,8,1228.22721664112
"CA de Saint-Quentin-en-Yvelines","CA",0,0,11,78,0,0,232778,"Industriels-Chefs entreprise",67,"Union pour un mouvement populaire",12.7,3591,200054781,24680,16.5,901.010680047083
"CA de Saint-Quentin-en-Yvelines","CA",0,0,11,78,0,0,232778,"Industriels-Chefs entreprise",67,"Rassemblement pour la République",12.7,3591,200054781,24680,16.5,901.010680047083
"CA de Saintes","CA",0,0,75,17,0,0,62280,"Retraités salariés privés",77,NA,24.9,646,200041689,21260,5.9,673.78419059088
"CA de Sophia Antipolis","CA",3,1,93,6,3,4,179146,"Retraités des entreprises publiques",73,"Union pour un mouvement populaire",23.5,3971,200030195,24160,16,877.800268551907
"CA de Sophia Antipolis","CA",3,1,93,6,3,4,179146,"Retraités des entreprises publiques",73,"Union pour la démocratie française",23.5,3971,200030195,24160,16,877.800268551907
"CA de Sophia Antipolis","CA",3,1,93,6,3,4,179146,"Retraités des entreprises publiques",73,"Parti radical",23.5,3971,200030195,24160,16,877.800268551907
"CA de Vesoul","CA",1,1,27,70,1,1,33926,"Fonctionnaires de catégorie A",46,"Union pour un mouvement populaire",22.3,288,242500361,20870,6.3,795.84432293816
"CA des Deux Baies en Montreuillois","CA",0,0,32,62,0,0,68207,"Autres professions libérales",67,NA,24,528,200044030,20550,5.2,805.925255765537
"CA Dinan Agglomération","CA",9,1,53,22,9,0,99639,"Permanents politiques",35,"Parti socialiste",25.1,735,243500139,21460,5.4,670.38053703871
"CA Dracénie Provence Verdon Agglomération","CA",2,1,93,83,2,2,110019,"Agents généraux d'assurances",60,NA,23.3,1549,200035319,20700,6.2,670.888376280461
"CA du Bassin d'Arcachon Nord","CA",0,0,75,33,0,0,66632,"Agriculteurs propriétaires exploit.",65,NA,25.9,1058,243300316,23770,7.2,453.477769840317
"CA du Bassin d'Aurillac","CA",0,0,84,15,0,0,56066,"Fonctionnaires de catégorie A",67,NA,23.8,362,200066678,21500,5.6,911.938345164627
"CA du Bassin de Bourg-en-Bresse","CA",0,0,84,1,0,0,136014,"Grands corps de l'état",55,"Parti socialiste",20.7,1353,200046977,22220,6,930.523095931301
"CA du Bassin de Brive","CA",2,1,75,19,0,2,110698,"Cadres supérieurs (secteur privé)",55,"Union pour un mouvement populaire",24.9,922,248719312,21210,5.9,789.619524110643
"CA du Beauvaisis","CA",0,0,32,60,0,0,104563,"Agriculteurs propriétaires exploit.",72,"Union pour un mouvement populaire",17.1,861,246000848,20800,6.7,786.771808000918
"CA du Beauvaisis","CA",0,0,32,60,0,0,104563,"Agriculteurs propriétaires exploit.",72,"Rassemblement pour la République",17.1,861,246000848,20800,6.7,786.771808000918
"CA du Bocage Bressuirais","CA",0,0,75,79,0,0,75710,"Retraités fonct.publique (sf enseig.)",77,NA,21.4,482,200041333,19960,3.4,768.18751208559
"CA du Boulonnais","CA",2,1,32,62,0,2,116658,"Retraités des professions libérales",82,NA,19.5,879,200018083,18720,5.5,784.927287798522
"CA du Caudrésis et du Catésis","CA",0,0,32,59,0,0,65727,"Retraités fonct.publique (sf enseig.)",68,NA,18.2,358,200068500,18240,2.6,334.195706787165
"CA du Choletais","CA",0,0,52,49,0,0,106711,"Avocats",61,"Union pour un mouvement populaire",20.4,758,200060010,21090,5,946.613214757616
"CA du Cotentin","CA",27,1,28,50,27,0,185946,"Cadres supérieurs (secteur privé)",57,NA,20.7,1087,200065597,21670,5.9,714.249696255902
"CA du Douaisis Agglo","CA",2,1,32,59,0,2,151307,"Permanents politiques",63,NA,18,1155,245901152,19110,5.2,693.407929771921
"CA du Gard Rhodanien","CA",0,0,76,30,0,0,75501,"Employés (autres entrep. publiques)",50,NA,21,772,248400251,21000,6.8,555.743263665382
"CA du Grand Angoulême","CA",0,0,75,16,0,0,147950,"Autres professions",62,NA,21.8,1346,200070514,21100,7.3,1109.18374004731
"CA du Grand Annecy","CA",0,0,84,74,0,0,206835,"Cadres sup. (entreprises publiques)",62,"Union des démocrates et indépendants",19,3373,247400740,26420,13.8,841.964013730752
