nom,nb_publi,ouvre_data,code_region,nb_ptf,nb_datagouv,population,CSP_chef,age_chef,partis_po_chef,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,nb_etudiants,part_etudiants,niveau_rural,niveau_densite,percent_pop_rurale,region,is_big_nb_etu,feuilles_CART,is_extreme
Morbihan,17,1,53,0,17,769772,8,67,Droite,24.1,21600,6.7,6.9,6445,1876,35,889.427039097291,16900,2.2,5,3,58.2295305535098,Bretagne,0,2,0
Moselle,20,1,44,20,0,1064905,3,67,Droite,19.4,21650,7.1,7.7,8136,1795,54,819.251328512872,27390,2.6,4,2,33.1074972301339,Grand Est,0,2,0
Nièvre,38,1,27,38,2,216182,7,71,Gauche,29,20320,4.5,6.5,1321,391,18,1436.22346624603,2314,1.1,6,3,63.97401394797,Bourgogne-Franche-Comté,0,1,0
Nord,7,1,32,7,0,2639070,3,70,Droite,16.8,20040,9.2,10,27024,3868,62,1112.03305819474,152012,5.8,2,2,14.749417095776,Hauts-de-France,1,4,1
Oise,125,1,32,125,54,842804,4,60,Droite,16.8,22150,7,8.1,6975,1285,80,1017.01828628008,12324,1.5,4,2,39.121726256131,Hauts-de-France,0,3,1
Orne,0,0,28,0,0,294421,4,63,Droite,25.7,20140,4.3,7.4,1828,328,14,1179.77169488589,2943,1,6,3,72.8649972474345,Normandie,0,1,0
Pas-de-Calais,0,0,32,0,0,1494330,3,69,Gauche,18.5,19200,4.5,9.4,9924,2555,59,1147.33646788862,30283,2,4,2,23.8750545555905,Hauts-de-France,0,1,0
Puy-de-Dôme,24,1,84,24,0,667365,7,71,Gauche,21.5,21890,9.4,6.9,6315,1910,3,1070.58138667746,41486,6.2,6,2,41.9303054510418,Auvergne-Rhône-Alpes,0,2,0
Pyrénées-Atlantiques,7,1,75,7,0,694279,7,77,Droite,23.8,21850,9.7,6.7,8236,2683,40,1029.93620854152,19869,2.9,5,2,33.492772441413,Nouvelle-Aquitaine,0,2,0
Hautes-Pyrénées,39,1,76,39,39,235131,7,75,Gauche,26.6,20420,6.2,9.2,2463,2789,31,1536.07363206043,5525,2.3,6,2,44.9990372082,Occitanie,0,1,0
Pyrénées-Orientales,12,1,76,0,12,482567,3,52,Gauche,25.9,19350,6.8,12.5,5870,1660,34,1340.62349965911,10746,2.2,6,2,34.5687191347115,Occitanie,0,1,0
Bas-Rhin,100,1,44,0,100,1139258,8,55,Droite,18.1,22620,10.7,6.9,11647,4437,68,944.430005187587,68344,6,4,1,23.6026163391572,Grand Est,1,4,1
Haut-Rhin,0,0,44,0,0,777734,3,65,Droite,19.5,23130,7.5,8,6821,2975,67,901.499978861667,14343,1.8,4,2,25.5903520485943,Grand Est,0,2,0
Rhône,0,0,84,0,0,464828,8,63,Droite,16.9,22990,16.7,7.3,34631,5831,38,974.876703619403,171080,36.8,2,1,10.1148624122658,Auvergne-Rhône-Alpes,1,4,1
Haute-Saône,0,0,27,0,0,244305,7,72,Gauche,22.7,20680,4.5,7.1,1624,142,25,1136.41220282025,1052,0.4,4,3,71.4165378573143,Bourgogne-Franche-Comté,0,1,0
Saône-et-Loire,14,1,27,14,63,572527,2,55,sans �tiquette,25.5,20850,5.4,7,4434,1453,21,1078.90691942913,5056,0.9,5,3,56.6662574535251,Bourgogne-Franche-Comté,0,3,0
Sarthe,1,1,52,1,0,582211,3,62,Droite,21.7,21040,5.6,8.1,3761,894,49,1014.90942357668,14531,2.5,5,3,56.4431161278087,Pays de la Loire,0,2,0
Savoie,7,1,84,7,5,442775,3,61,Droite,20.4,23160,8.8,6.4,6076,3499,38,1216.77561709672,13219,3,5,2,38.5519891546984,Auvergne-Rhône-Alpes,0,1,0
Haute-Savoie,0,0,84,0,0,823928,7,74,Droite,16.8,26600,10.6,6.4,11273,4887,73,982.751897811459,9338,1.1,4,2,24.6466126806517,Auvergne-Rhône-Alpes,0,3,1
Paris,315,1,11,315,0,2210875,8,62,Gauche,16.9,28270,39.3,6.4,76851,38022,92,3789.94999065076,365531,16.5,1,1,0,Île-de-France,1,4,1
Seine-Maritime,131,1,28,131,0,1280803,3,61,Droite,19.7,21140,7.3,9,11316,2499,27,1190.6386379248,59321,4.6,5,1,26.6783577496462,Normandie,1,4,1
Seine-et-Marne,1,1,11,0,1,1419206,4,66,Droite,14.4,23470,8.8,7,18953,9653,94,976.914128928429,28961,2,3,2,21.2607043365278,Île-de-France,0,2,1
Yvelines,0,0,11,0,0,1458275,2,63,Droite,16.3,26810,20.6,6.4,21901,2516,92,936.440865358043,38312,2.6,3,1,7.71998238460064,Île-de-France,0,2,1
Deux-Sèvres,1,1,75,0,1,385495,3,72,Droite,23.2,20840,5.5,5.9,2481,455,86,966.230763771255,2764,0.7,5,3,67.9080231908684,Nouvelle-Aquitaine,0,3,0
Somme,1,1,32,0,1,584797,3,63,Droite,19.7,20320,6.3,9.3,4290,933,60,1080.16218132104,31333,5.4,3,2,44.1268855305602,Hauts-de-France,0,2,0
Tarn,0,0,76,0,0,397929,3,47,Gauche,25,20400,6.5,8.1,4103,492,31,1203.96776030397,7513,1.9,4,2,43.7294085199208,Occitanie,0,1,0
