nom,nom_minimise,SIREN,code_region,code_departement
CC du Pays de Cruseilles,CC DU PAYS DE CRUSEILLES,247400112,84,74
CC du Pays de Dol et de la Baie du Mont-Saint-Michel,CC PAYS DOL BAIE MT ST MICHEL,200070670,53,35
CC du Pays de Duras,CC DU PAYS DE DURAS,244700449,75,47
CC du Pays de Falaise,CC PAYS DE FALAISE,241400514,28,14
CC du Pays de Fayence,CC PAYS DE FAYENCE,200004802,93,83
CC du Pays de Fénelon,CC DU PAYS DE FENELON,200040830,75,24
CC du Pays de Honfleur-Beuzeville,CC PAYS HONFLEUR-BEUZEVILLE,200066827,28,"14,27"
CC du Pays de l'Arbresle (CCPA),CC PAYS DE L'ARBRESLE - CCPA,246900625,84,69
CC du Pays de l'Huisne Sarthoise,CC PAYS DE L'HUISNE SARTHOISE,247200686,52,72
CC du Pays de l'Ourcq,CC DE PAYS DE L OURCQ (CCPO),247700065,11,77
CC du Pays de l'Ozon,CC PAYS DE L'OZON - CCPO,246900765,84,69
CC du Pays de la Châtaigneraie,CC PAYS DE LA CHATAIGNERAIE,248500415,52,85
CC du Pays de la Serre,CC DU PAYS DE LA SERRE,240200469,32,02
CC du Pays de la Zorn,CC PAYS DE LA ZORN  CCPZ,246700959,44,67
CC du Pays de Lalbenque-Limogne,CC PAYS DE LALBENQUE-LIMOGNE,244600532,76,46
CC du Pays de Lamastre,CC DU PAYS DE LAMASTRE,200016905,84,07
CC du Pays de Landerneau-Daoulas,CC DE LANDERNEAU DAOULAS,242900801,53,29
CC du Pays de Landivisiau,CC DU PAYS DE LANDIVISIAU,242900751,53,29
CC du Pays de Lapalisse,CC LAPALISSE,240300491,84,03
CC du Pays de Lauzun,CC DU PAYS DE LAUZUN,244700464,75,47
CC du Pays de Limours (CCPL),CC DU PAYS LIMOURS,249100074,11,91
CC du Pays de Lubersac-Pompadour,CC PAYS LUBERSAC-POMPADOUR,200066603,75,19
CC du Pays de Lumbres,CC PAYS DE LUMBRES,246201016,32,62
CC du Pays de Lunel,CC PAYS DE LUNEL,243400520,76,34
CC du Pays de Lure,CC DU PAYS DE LURE,247000664,27,70
CC du Pays de Luxeuil,CC DU PAYS DE LUXEUIL,247000755,27,70
CC du Pays de Maîche,CC DU PAYS DE MAICHE,200023075,27,25
CC du Pays de Mauriac,CC PAYS MAURIAC,241500271,84,15
CC du Pays de Meslay-Grez,CC MESLAY GREZ,245300223,52,53
CC du Pays de Mirepoix,CC DU PAYS DE MIREPOIX,200044469,76,09
CC du Pays de Montbozon et du Chanois,CC DU PAYS DE MONTBOZON ET DU CHANOIS,200041853,27,70
CC du Pays de Montfaucon,CC PAYS MONTFAUCON,244300307,84,43
CC du Pays de Montmédy,CC MONTMEDY,245501259,44,55
CC du Pays de Mormal,CC PAYS DE MORMAL,200043321,32,59
CC du Pays de Mortagne,CC DU PAYS DE MORTAGNE,248500662,52,85
CC du Pays de Mortagne-au-Perche,CC DU PAYS DE MORTAGNE-AU-PERCHE,200036069,28,61
CC du Pays de Niederbronn-les-Bains,CC PAYS NIEDERBRONN LES BAINS,246701098,44,67
CC du Pays de Phalsbourg,CC PAYS DE PHALSBOURG,245700950,44,57
CC du Pays de Pontchâteau Saint-Gildas-des-Bois,CC PAYS PONTCHATEAU SAINT-GILDAS,200000438,52,44
CC du Pays de Pouzauges,CC DU PAYS DE POUZAUGES,248500464,52,85
CC du Pays de Revigny-sur-Ornain,CC REVIGNY-SUR-ORNAIN,245501184,44,55
CC du Pays de Ribeauvillé,CC PAYS RIBEAUVILLE,246800577,44,68
"CC du Pays de Rouffach,Vignobles et Châteaux",CC PAYS ROUFFACH VIGNOBLES CHT,246800494,44,68
CC du Pays de Saint-Aulaye,CC PAYS DE SAINT-AULAYE,242400935,75,24
CC du Pays de Saint-Éloy,CC DU PAYS DE SAINT ELOY,200072080,84,63
CC du Pays de Saint-Fulgent - Les Essarts,CC PAYS ST-FULGENT-LES ESSARTS,200071918,52,85
CC du Pays de Saint-Gilles-Croix-de-Vie,CC PAYS ST-GILLES-CROIX-DE-VIE,200023778,52,85
CC du Pays de Saint-Yrieix,CC PAYS DE SAINT-YRIEIX,248700189,75,"19,87"
CC du Pays de Sainte-Odile,CC PAYS DE SAINTE ODILE   CCPSO,246701080,44,67
CC du Pays de Salars,CC PAYS DE SALARS,241200658,76,12
CC du Pays de Salers,CC PAYS DE SALERS,241501139,84,15
CC du Pays de Sancey-Belleherbe,CC DU PAYS DE SANCEY-BELLEHERBE,242504371,27,25
CC du Pays de Saverne,CC PAYS DE SAVERNE CCPS,200068112,44,67
CC du Pays de Serres en Quercy,CC PAYS DE SERRES EN QUERCY,200040418,76,82
CC du Pays de Sommières,CC DU PAYS DE SOMMIERES,243000296,76,30
CC du Pays de Stenay et du Val Dunois,CC PAYS STENAY ET VAL DUNOIS,200066132,44,55
CC du Pays de Tarascon,CC DU PAYS DE TARASCON,240900431,76,09
CC du Pays de Trie et du Magnoac,CC PAYS DE TRIE ET MAGNOAC,200070795,76,65
CC du Pays de Tronçais,CC DU PAYS DE TRONCAIS,240300558,84,03
CC du Pays de Valois,CC DU PAYS DE VALOIS,246000871,32,60
CC du Pays de Villeneuve en Armagnac Landais,CC PAYS VILLENEUVE EN ARMAGNAC LANDAIS,244000774,75,40
CC du Pays de Villersexel,CC DU PAYS DE VILLERSEXEL,247000714,27,"25,70"
CC du Pays de Wissembourg,CC PAYS WISSEMBOURG CCPW,246700926,44,67
CC du Pays des Abers,CC DE PLABENNEC ET DES ABERS,242900553,53,29
CC du Pays des Achards,CC DU PAYS DES ACHARDS,248500530,52,85
CC du Pays des Ecrins,CC DU PAYS DES ECRINS,240500462,93,05
CC du Pays des Herbiers,CC DU PAYS DES HERBIERS,248500621,52,85
CC du Pays des Paillons,CC DU PAYS DES PAILLONS,240600593,93,06
CC du Pays des Sorgues et des Monts de Vaucluse,CC PAYS DES SORGUES-ET-MONTS VAUCLUSE,248400319,93,84
CC du Pays des Sources,CC PAYS DES SOURCES,246000855,32,60
CC du Pays du Coquelicot,CC PAYS DU COQUELICOT,248000747,32,80
CC du Pays du Neubourg,CC DU PAYS DU NEUBOURG,242700607,28,27
CC du Pays du Saintois,CC DU PAYS DU SAINTOIS,200035772,44,54
CC du Pays du Sanon,CC DU PAYS DU SANON,245400759,44,54
CC du Pays du Vermandois,CC PAYS DU VERMANDOIS,240200493,32,02
CC du Pays entre Loire et Rhône,CC DU PAYS ENTRE LOIRE ET RHONE,244200630,84,42
CC du Pays Fertois et du Bocage Carrougien,CC PAYS-FERTOIS- BOCAGE-CARROUGIEN,200071652,28,61
CC du Pays Fléchois,CC DU PAYS FLECHOIS,247200348,52,72
CC du Pays Fouesnantais,CC DU PAYS FOUESNANTAIS,242900660,53,29
CC du Pays Foyen,CC PAYS FOYEN,243301371,75,"24,33"
CC du Pays Gentiane,CC PAYS GENTIANE,241500255,84,15
CC du Pays Grenadois,CC DU PAYS GRENADOIS,244000824,75,40
CC du Pays Haut Val d'Alzette,CC PAYS HAUT VAL ALZETTE,245701404,44,"54,57"
CC du Pays Houdanais (C.C.P.H.),CC DU PAYS HOUDANAIS,247800550,"11,24","28,78"
CC du Pays Loudunais,CC DU LOUDUNAIS,248600447,75,86
CC du Pays Morcenais,CC DU PAYS MORCENAIS,244000691,75,40
CC du Pays Mornantais (COPAMO),CC PAYS MORNANTAIS - COPAMO,246900740,84,69
CC du Pays Noyonnais,CC PAYS NOYONNAIS,246000756,32,60
CC du Pays Orne Moselle,CC PAYS ORNE MOSELLE (CCPOM),245701271,44,57
CC du Pays Rethélois,CC DU PAYS RETHELOIS,200043156,44,08
CC du Pays Réuni d'Orange,CC DU PAYS REUNI D'ORANGE,248400236,93,84
CC du Pays Rhénan,CC PAYS RHENAN,200041325,44,67
CC du Pays Rignacois,CC DU PAYS RIGNACOIS,241200625,76,12
CC du Pays Riolais,CC DU PAYS RIOLAIS,247000706,27,70
CC du Pays Rochois,CC DU PAYS ROCHOIS,247400724,84,74
CC du Pays Solesmois,CC SOLESMOIS,245901038,32,59
CC du Pays Tarusate,CC PAYS TARUSATE,244000766,75,40
CC du Pays Viganais,CC DU PAYS VIGANAIS,243000270,76,30
CC du Perche,CC DU PERCHE,200006971,24,28
CC du Perche et Haut Vendômois,CC PERCHE ET HAUT VENDOMOIS,200040772,24,41
CC du Périgord Nontronnais,CC PERIGORD NONTRONNAIS,200071819,75,24
CC du Périgord Ribéracois,CC DU PERIGORD RIBERACOIS,200040400,75,24
CC du Piémont Cévenol,CC PIEMONT CEVENOL,200034411,76,30
CC du Pilat Rhodanien,CC DU PILAT RHODANIEN,244200895,84,42
CC du Pithiverais,CC DU PITHIVERAIS,200066280,24,45
CC du Pithiverais-Gâtinais,CC DU PITHIVERAIS GATINAIS,200071850,24,45
CC du Plateau de Frasne et du Val de Drugeon (CFD),CC PLATEAU DE FRASNE ET VAL DRUGEON,242504496,27,25
