rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;Nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE (voir documentation);A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2018;2018-19;Unité urbaine;Saint-Pol-de-Léon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;9;9;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29305;R53;;;UU29305
2018;2018-19;Unité urbaine;Saint-Pol-de-Léon;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;25;25;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29305;R53;;;UU29305
2018;2018-19;Unité urbaine;Pont-l'Abbé;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;15;15;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29306;R53;;;UU29306
2018;2018-19;Unité urbaine;Pont-l'Abbé;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;46;46;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29306;R53;;;UU29306
2018;2018-19;Unité urbaine;Fouesnant;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;59;59;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29402;R53;;;UU29402
2018;2018-19;Unité urbaine;Morlaix;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;12;12;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29403;R53;;;UU29403
2018;2018-19;Unité urbaine;Quimper;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;2431;2431;oui;556;oui;51;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29501;R53;;;UU29501
2018;2018-19;Unité urbaine;Quimper;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;576;576;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29501;R53;;;UU29501
2018;2018-19;Unité urbaine;Ajaccio;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;236;236;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU2A501;R94;;;UU2A501
2018;2018-19;Unité urbaine;Borgo;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;22;22;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU2B301;R94;;;UU2B301
2018;2018-19;Unité urbaine;Bagnols-sur-Cèze;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;204;204;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU30401;R76;;;UU30401
2018;2018-19;Unité urbaine;Bagnols-sur-Cèze;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;111;111;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU30401;R76;;;UU30401
2018;2018-19;Unité urbaine;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;11168;11168;non;;oui;572;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701;R76;;;UU31701
2018;2018-19;Unité urbaine;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;9536;9536;non;;oui;1518;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701;R76;;;UU31701
2018;2018-19;Unité urbaine;Mirande;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;23;23;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU32105;R76;;;UU32105
2018;2018-19;Unité urbaine;Auch;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;37;37;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU32401;R76;;;UU32401
2018;2018-19;Unité urbaine;Bazas;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;3;3;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU33122;R75;;;UU33122
2018;2018-19;Unité urbaine;La Teste-de-Buch - Arcachon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;43;43;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU33501;R75;;;UU33501
2018;2018-19;Unité urbaine;La Teste-de-Buch - Arcachon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;41;41;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU33501;R75;;;UU33501
2018;2018-19;Unité urbaine;Mauguio;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;47;47;non;;oui;25;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU34304;R76;;;UU34304
2018;2018-19;Unité urbaine;Agde;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;6;6;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU34401;R76;;;UU34401
2018;2018-19;Unité urbaine;Dol-de-Bretagne;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;54;54;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35131;R53;;;UU35131
2018;2018-19;Unité urbaine;Vitré;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;66;66;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35302;R53;;;UU35302
