Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
01207;Lapeyrouse;11.1;6;null;9.7
01208;Lavours;33.3;2;null;1.9
01209;Léaz;11.8;6;null;6.8
01210;Lélex;19.7;4;null;6
01211;Lent;18.4;14;null;4
01212;Lescheroux;18.7;6;null;1.1
01213;Leyment;10.5;10;null;4.9
01214;Leyssard;16.9;4;null;8.4
01215;Surjoux-Lhopital;16.8;1;null;3.8
01216;Lhuis;25.5;6;null;5.9
01219;Lompnas;21.3;0;null;6.8
01224;Loyettes;12.7;38;null;5.3
01225;Lurcy;19.5;6;null;7
01227;Magnieu;17.1;4;null;4.8
01228;Maillat;17.6;5;null;6.8
01229;Malafretaz;18.7;12;null;3.7
01230;Mantenay-Montlin;22.9;4;null;0.9
01231;Manziat;21.2;6;null;3
01232;Marboz;21.5;12;null;3.8
01233;Marchamp;24.4;1;null;10.1
01234;Marignieu;21.9;2;null;7.9
01235;Marlieux;15.5;6;null;5.5
01236;Marsonnas;18.7;6;null;4.7
01237;Martignat;14.1;19;null;4.4
01238;Massieux;15.6;24;null;9.3
01239;Massignieu-de-Rives;22.9;3;null;3
01240;Matafelon-Granges;15.4;1;null;3.5
01241;Meillonnas;20.8;14;null;7.7
01242;Mérignat;14.1;1;null;11.5
01243;Messimy-sur-Saône;18.4;15;null;8.3
01244;Meximieux;15.8;83;null;9.9
01245;Bohas-Meyriat-Rignat;19.1;5;null;8
01246;Mézériat;19;24;null;3.9
01247;Mijoux;13.5;6;null;12.4
01248;Mionnay;12.3;24;null;10
01249;Miribel;15.6;143;null;10.9
01250;Misérieux;13.3;11;null;8.4
01252;Mogneneins;17;7;null;7.4
01254;Montagnat;18.6;32;null;10
01255;Montagnieu;17.8;6;null;3.9
01257;Montanges;16;5;null;5.6
01258;Montceaux;12.7;8;null;4.7
01259;Montcet;11.9;5;null;4.3
01260;Le Montellier;16;2;null;10.1
01261;Monthieux;14.6;8;null;9.1
01262;Montluel;18.3;90;null;7.9
01263;Montmerle-sur-Saône;19.5;31;null;6.2
01264;Montracol;16.5;4;null;4.6
01265;Montréal-la-Cluse;16.3;32;null;3.8
01266;Montrevel-en-Bresse;29.3;23;null;3.1
01267;Nurieux-Volognat;17;9;null;3.2
01268;Murs-et-Gélignieux;25.2;2;null;7.7
01269;Nantua;20.1;31;null;6.4
01272;Neuville-les-Dames;22;13;null;5.4
01273;Neuville-sur-Ain;15.3;17;null;5.2
01274;Les Neyrolles;16.2;5;null;3.8
01275;Neyron;17.4;37;null;17.1
01276;Niévroz;12;15;null;6.9
01277;Nivollet-Montgriffon;16.8;2;null;4.3
01279;Oncieu;27.4;1;null;2.9
01280;Ordonnaz;24.1;2;null;1.9
01281;Ornex;11.6;42;null;26.7
01282;Outriaz;20.5;3;null;3.5
01283;Oyonnax;17.8;219;01031;4
01284;Ozan;14.2;4;null;2.3
01285;Parcieux;15.5;17;null;11.8
01286;Parves et Nattages;22.9;10;null;9.4
01288;Péron;8.9;22;null;15.4
01289;Péronnas;25.6;63;01053;6.6
01290;Pérouges;21.2;15;null;2.4
01291;Perrex;18.5;3;null;3.6
01293;Peyriat;15.9;1;null;9.9
01294;Peyrieu;18.6;6;null;5.9
01295;Peyzieux-sur-Saône;6.5;6;null;6.3
01296;Pirajoux;17.8;5;null;1.8
01297;Pizay;12.7;7;null;11.6
01298;Plagne;23.3;3;null;9
01299;Le Plantay;12.9;5;null;8.6
01301;Polliat;20.3;22;null;4.8
01302;Pollieu;23.3;0;null;9.7
01303;Poncin;20.6;28;null;6.7
01304;Pont-d'Ain;19;24;null;6
01305;Pont-de-Vaux;30.8;23;null;2.8
01306;Pont-de-Veyle;26.2;16;null;2.5
01307;Port;22.1;10;null;5.3
01308;Pougny;17;2;null;15.3
01309;Pouillat;21.6;0;null;7.8
01310;Prémeyzel;13.8;1;null;2.4
01311;Prémillieu;20.5;0;null;8.6
01313;Prévessin-Moëns;9.8;82;null;29
01314;Priay;15.2;17;null;5.8
01317;Ramasse;14.5;2;null;5.2
01318;Rancé;12.3;6;null;10
01319;Relevant;17.3;3;null;4.1
01320;Replonges;19;41;null;4.5
01321;Revonnas;17;8;null;11.4
01322;Reyrieux;18.7;64;null;12.6
01323;Reyssouze;20.5;6;null;2.5
01325;Rignieux-le-Franc;15.9;9;null;7.1
01328;Romans;23.9;6;null;4.1
01329;Rossillon;29.4;2;null;2.3
01330;Ruffieu;23.6;3;null;3.6
01331;Saint-Alban;21.1;2;null;3.1
01332;Saint-André-de-Bâgé;15.8;13;null;5.6
01333;Saint-André-de-Corcy;19.1;30;null;8.1
01334;Saint-André-d'Huiriat;11.3;3;null;6.4
01335;Saint-André-le-Bouchoux;13.2;3;null;5.3
01336;Saint-André-sur-Vieux-Jonc;18;10;null;2.6
01337;Saint-Bénigne;20;12;null;3
01338;Groslée-Saint-Benoit;19.4;12;null;3.6
01339;Saint-Bernard;24.7;15;null;14.8
01342;Sainte-Croix;10.7;6;null;9.9
01343;Saint-Cyr-sur-Menthon;15.1;14;null;4.1
01344;Saint-Denis-lès-Bourg;24.2;59;01053;8.6
01345;Saint-Denis-en-Bugey;17.2;19;null;3
01346;Saint-Didier-d'Aussiat;17.3;10;null;4.3
01347;Saint-Didier-de-Formans;15.4;24;null;11
01348;Saint-Didier-sur-Chalaronne;19.3;40;null;4.4
01349;Saint-Éloi;18.6;7;null;10.6
01350;Saint-Étienne-du-Bois;22.3;13;null;3.9
01351;Saint-Étienne-sur-Chalaronne;13.1;20;null;4.9
01352;Saint-Étienne-sur-Reyssouze;19.8;4;null;4.4
01353;Sainte-Euphémie;11.2;20;null;10.1
01354;Saint-Genis-Pouilly;9.5;111;null;25.6
01355;Saint-Genis-sur-Menthon;13.6;3;null;3.2
01356;Saint-Georges-sur-Renon;13.9;0;null;6.2
01357;Saint-Germain-de-Joux;15.4;7;null;2.5
01358;Saint-Germain-les-Paroisses;21.9;1;null;7
01359;Saint-Germain-sur-Renon;15.7;2;null;5.5
01360;Saint-Jean-de-Gonville;11.1;10;null;16.8
01361;Saint-Jean-de-Niost;15.4;16;null;11.2
01362;Saint-Jean-de-Thurigneux;12.5;12;null;8.4
01363;Saint-Jean-le-Vieux;18.2;11;null;6.2
01364;Saint-Jean-sur-Reyssouze;23.3;4;null;2.1
01365;Saint-Jean-sur-Veyle;17.5;13;null;4.3
01366;Sainte-Julie;10.2;9;null;4.9
01367;Saint-Julien-sur-Reyssouze;20.9;7;null;1.8
01368;Saint-Julien-sur-Veyle;14.8;10;null;3.7
01369;Saint-Just;19;14;null;6.2
