nom,SIREN,type,code_region,code_departement
CC des Bastides Dordogne-Périgord,200034833,MET,75,24
CC des Bastides en Haut-Agenais Périgord,200036523,MET,75,47
CC des Campagnes de l'Artois,200069482,MET,32,62
CC des Causses à l'Aubrac,200068484,MET,76,12
CC des Cévennes au Mont Lozère,200069136,MET,76,48
CC des Cévennes Gangeoises et Suménoises,243400736,MET,76,
CC des Coëvrons,200033298,MET,52,53
CC des Collines du Nord Dauphiné,243801255,MET,84,38
CC des Collines du Perche,244100293,MET,24,41
CC des Collines du Perche Normand,200071504,MET,28,61
CC des Combes,247000367,MET,27,70
CC des Coteaux Arrats Gimone,200042372,MET,76,32
CC des Coteaux Bellevue,243100815,MET,76,31
CC des Coteaux Bordelais,243301355,MET,75,33
CC des Coteaux du Girou,243100732,MET,76,31
CC des Coteaux du Val-d'Arros,200070803,MET,76,65
CC des Coteaux et Landes de Gascogne,244701355,MET,75,47
CC des Crêtes Préardennaises,240800862,MET,44,8
CC des Deux Morin,200072544,MET,11,77
CC des Deux Rives,248200016,MET,,
CC des Deux Vallées,246000772,MET,32,60
CC des Deux Vallées,249100157,MET,11,91
CC des Deux Vallées Vertes,200068294,MET,27,25
CC des Forêts du Perche,200069912,MET,24,28
CC des Gorges de l'Ardèche,200039808,MET,84,7
CC des Grands Lacs,244000873,MET,75,40
CC des Hautes-Vosges,200071157,MET,44,88
CC des Hautes Terres de l'Aubrac,200069144,MET,76,48
CC des Hauts de Flandre,200040954,MET,32,59
CC des Hauts du Perche,200068856,MET,28,61
CC des Hauts du Val de Saône,200036150,MET,27,70
CC des Hauts Tolosans,200071314,MET,76,31
CC des Lacs de Champagne,200040137,MET,44,10
CC des Lacs et Montagnes du Haut-Doubs,200069565,MET,27,25
CC des Landes d'Armagnac,200035541,MET,75,40
CC des Lisières de l'Oise,246000749,MET,32,60
CC des Loges,244500427,MET,24,45
CC des Luys en Béarn,200067239,MET,75,64
CC des Montagnes du Giffre,200034098,MET,84,74
CC des Monts d'Alban et du Villefranchois,200034031,MET,76,81
CC des Monts de Gy,247000698,MET,27,70
CC des Monts de Lacaune et de la Montagne du Haut Languedoc,200066553,MET,76,
CC des Monts du Lyonnais,200066587,MET,84,
CC des Monts du Pilat,244200622,MET,84,42
CC des Pays d'Oise et d'Halatte,246000921,MET,32,60
CC des Pays de Cayres et de Pradelles,244301123,MET,84,43
