Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
200035848;CC du Châtillonnais en Berry;37.6;34;null;19480;2.5
200035855;CC Castelnaudary Lauragais Audois;21.2;222;200035707;20020;6.8
200035863;CC Région Lézignanaise, Corbières et Minervois;24.9;351;241100593;18670;5.1
200035970;CC Vexin Centre;14.8;296;249500109;27190;9.9
200036069;CC du Pays de Mortagne-au-Perche;26.8;106;null;20290;4.9
200036077;CC du Golfe de Saint-Tropez;26.9;1334;200030195;21870;6.5
200036135;CC Cœur de France;31;100;null;19690;3.3
200036150;CC des Hauts du Val de Saône;29.3;47;null;19130;2.3
200036465;CC de Thann-Cernay;19.5;265;200066009;22670;6
200036473;CA de Saintes;24.9;646;200041689;21260;5.9
200036499;CC de Marana-Golo;15.3;399;242000354;20760;6.6
200036523;CC des Bastides en Haut-Agenais Périgord;29.6;160;null;19550;4.4
200036549;CC Val de Gray;24.9;129;242500361;20210;3.8
200036572;CC Porte d'Aquitaine en Pays de Serres;22.6;39;null;20960;4.8
200037059;CC de la Haute-Somme;21.1;197;null;19510;3.3
200037133;CC du Provinois;17.8;299;null;20960;5.2
200038958;CC de la Pieve de l'Ornano et du Taravo;30.6;204;242010056;23450;8.8
200038990;CC de Saint-Méen Montauban;17.7;159;243500139;21240;4.5
200039022;CA Vitré Communauté;16.5;622;243500139;21680;5.4
200039055;CC Ouche et Montagne;19.9;129;242100410;24280;8.9
200039063;CC Forêts, Seine et Suzon;23;65;242100410;25500;11
200039204;CC de Lacq-Orthez;23.4;370;200067254;21400;4.6
200039519;CC du Quercy Blanc;30.5;79;200023737;19660;5.4
200039642;CC Le Tonnerrois en Bourgogne;27.8;102;null;19810;3.7
200039709;CC du Serein;27.1;41;null;21130;4
200039758;CC Avallon, Vézelay, Morvan;26.7;132;null;20300;5
200039808;CC des Gorges de l'Ardèche;28.5;220;null;20320;5.3
200039824;CC Ardèche des Sources et Volcans;30;86;null;18950;4.3
200039832;CC Pays des Vans en Cévennes;31.8;132;null;19340;6.6
200039857;CA du Pays de Grasse;20.7;1743;200039915;23270;10.7
200039865;Metz Métropole;18.3;2541;245400676;21640;12.1
200039907;CC du Sud Messin;15.1;127;200039865;24340;6.9
200039915;CA Cannes Pays de Lérins;28.3;3510;200039857;21590;9.8
200039931;CC Alpes d'Azur;26.7;115;200030195;19760;5.6
200039949;CC Rives de Moselle;18.4;444;245701271;22080;6.3
200040038;CC Saône Doubs Bresse;20.6;101;247100589;21420;3.3
200040095;CC Isle Vern Salembre en Périgord;26.7;130;200040392;20200;3.5
200040111;CC Cœur de Chartreuse;19.7;206;null;22560;7.6
200040137;CC des Lacs de Champagne;25.9;54;200069250;20720;3.1
200040178;CC de l'Outre-Forêt;18;85;null;23800;3.8
200040202;CC Provence Verdon;23.6;284;200054807;20760;6
200040210;CC Lacs et Gorges du Verdon;31;114;null;19920;6
200040244;CA du Bocage Bressuirais;21.4;482;200041333;19960;3.4
200040251;CC Bassée-Montois;18.5;207;null;22500;3.8
200040277;CA du Pays de Dreux;17.5;1069;200071454;20960;4.9
200040293;CC du Clunisois;27.9;116;null;21510;8.6
200040350;CC Bugey Sud;21.5;325;null;21600;5.3
200040384;CC Isle Double Landais;29.1;122;null;19480;3
200040392;CA Le Grand Périgueux;23.3;1051;243300316;21130;6.3
200040400;CC du Périgord Ribéracois;31;224;null;19410;4.3
200040418;CC du Pays de Serres en Quercy;31.6;78;null;18290;5
200040426;CC du Val de l'Oise;20.2;84;200071892;20800;3.3
200040442;CA Luberon Monts de Vaucluse;22.7;767;200054807;20110;7
200040459;CA Montélimar Agglomération;20.4;824;200071405;20960;7.5
200040475;CC Loué - Brûlon - Noyen;18.7;73;null;20760;3.6
200040491;CC Porte de Drômardèche;19.8;401;200068781;20590;4
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;24.3;226;null;20120;8.7
200040558;CC Écueillé-Valençay;34.8;62;null;19610;2.6
200040566;CA de l'Ouest Rhodanien;22;410;200046977;20870;3.7
200040574;CC Beaujolais Pierres Dorées;18.1;728;200046977;26320;11.3
200040590;CA Villefranche Beaujolais Saône;18.3;1025;200046977;21140;7.3
200040624;CC Pays d'Apt-Luberon;27.1;402;null;19860;7.3
200040657;CC de la Matheysine;22.8;202;200040715;21720;5.9
200040681;CC Enclave des Papes-Pays de Grignan;25.7;241;null;20080;5.6
200040715;Grenoble-Alpes-Métropole;17.7;6273;200018166;22720;17.6
200040764;CC du Sud Corse;19.6;531;null;20010;6.1
200040772;CC du Perche et Haut Vendômois;25.4;81;null;20800;2.9
200040798;CC Val Vanoise;17.5;264;null;23880;6.5
200040814;CC Briance Sud Haute Vienne;24.3;74;null;20880;5.7
200040830;CC du Pays de Fénelon;28.2;110;null;20430;4.1
200040889;CC de Portes Sud Périgord;32;111;null;19580;5.5
200040905;CC Carmausin-Ségala;28;223;248100737;19280;3.1
200040947;CC de Flandre Intérieure;18.1;715;200093201;21800;5.3
200040954;CC des Hauts de Flandre;17.8;310;245900428;21770;4.8
200041010;CC Cœur de Savoie;18.4;385;200069110;23640;7.5
200041051;CC Vallée de la Dordogne et Forêt Bessède;31.7;109;null;19250;5.3
200041150;CC du Terrassonnais en Périgord Noir Thenon Hautefort;27;178;null;19620;4
200041168;CC de la Vallée de l'Homme;32.2;215;null;19610;5.6
200041283;CC de la Plaine du Rhin;17.8;92;null;25970;5.6
200041317;CA du Niortais;21.1;883;200041994;22690;8.7
200041325;CC du Pays Rhénan;18.3;227;200067874;25000;5.8
200041333;CC de Parthenay-Gâtine;26.5;249;null;19530;3.4
200041366;CC Rhône Crussol;22.6;334;200068781;23170;8.8
200041416;CC Airvaudais-Val du Thouet;28.5;57;null;19870;3.2
200041440;CC de Domme-Villefranche du Périgord;32.5;109;null;19190;4.3
200041465;CC Val Eyrieux;28.8;98;null;19810;4.1
200041499;CC Aunis Atlantique;17;307;241700434;21410;4.5
200041507;CA La Riviera du Levant;17.6;1213;200018653;N/A;7.2
200041515;CC du Bassin de Pont-à-Mousson;18.1;314;245400676;21410;5.2
200041523;CC de la Haute-Saintonge;26.8;619;200036473;19620;3.4
200041556;CC Portes de la Creuse en Marche;33.5;36;null;18880;2.4
200041572;CC Dronne et Belle;30.7;118;null;20430;4.6
200041614;CC Aunis Sud;20.5;308;241700434;20870;4.2
200041622;CC Ardennes Thiérache;20.9;64;null;19240;3
200041630;CA Ardenne Métropole;20.9;875;200067213;19320;4.7
200041689;CC des Vals de Saintonge Communauté;27.8;469;200036473;19480;3.7
200041721;CC de la Haute Comté;24.8;94;null;19240;2.4
200041762;CA Rochefort Océan;23.8;628;241700434;20780;5.2
200041788;CA du Pays Nord Martinique;21.3;714;249720061;16100;3.9
200041853;CC du Pays de Montbozon et du Chanois;20.4;37;null;21690;4.5
200041861;CC du Triangle Vert;18.6;92;null;21210;3.3
200041879;CC Terres de Saône;20.4;81;247000011;21080;3
200041887;CC du Val Marnaysien;17.1;111;242500361;22480;5.9
200041960;CC Pévèle-Carembault;16.6;904;200093201;25050;11.7
200041994;CC Haut Val de Sèvre;19.8;171;200041317;21530;4.5
200042000;CC Bruyères-Vallons des Vosges;22.3;111;200068757;19980;3
200042174;CA Lorient Agglomération;23.3;1772;243500139;21500;6.8
200042182;CC du Mont des Avaloirs;27.3;93;null;19500;2.6
200042190;CA de la Porte du Hainaut;16.5;1202;245901160;18220;4
200042372;CC des Coteaux Arrats Gimone;24.1;99;null;21350;6.5
200042414;CC Bresse Revermont 71;27.6;68;null;20360;3.3
200042463;CC de la Montagne Noire;27.4;48;null;18450;5.3
200042497;CC Dombes Saône Vallée;15.4;472;200046977;25550;9.6
200042604;CC de Granville, Terre et Mer;31.1;376;200069425;21650;5.3
200042620;CC de la Région de Suippes;14.9;35;null;21090;2.9
200042646;CC Grand Orb;30.3;160;null;18630;4.5
200042653;CC Sud-Hérault;28;163;null;19360;5.8
200042703;CC de l'Argonne Champenoise;25.7;74;null;20380;3.1
200042729;CC de la Baie du Cotentin;25.1;122;200067205;19880;3.3
200042901;CC Drôme Sud Provence;19.3;409;200040459;21650;6.5
200042935;CA Haut - Bugey Agglomération;18.2;564;200071751;20520;4.3
200042943;CC du Cap Corse;32.1;94;null;20080;7.4
200042992;CC Perthois-Bocage et Der;23.5;40;null;21500;2.8
200043016;CC Val de Charente;29.7;159;null;18980;3.9
200043065;CC du Val d'Amboise;22.5;236;243700754;21880;6.4
200043081;CC Chinon, Vienne et Loire;24;163;243700754;21520;5.4
200043123;CC Auray Quiberon Terre Atlantique;25;880;200067932;22100;6.8
200043156;CC du Pays Rethélois;19;192;200067213;21000;4
200043172;CA du Bassin de Brive;24.9;922;248719312;21210;5.9
200043263;CC Cœur de l'Avesnois;20.1;176;200043396;19270;4.1
200043321;CC du Pays de Mormal;18.9;329;200043396;21440;6.5
200043354;CC de Villedieu Intercom;25.9;107;200069425;19850;3.2
200043396;CA Maubeuge Val de Sambre;17.7;722;200043263;17310;3.2
200043404;CC du Sud Avesnois;20.5;129;null;16980;2.6
200043438;CC de la Moivre à la Coole;18.6;84;200066876;24540;4.5
200043495;CA du Pays de Laon;18.7;253;null;19510;5.5
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;31.8;683;200027183;20220;6.2
200043628;CC des Vallées du Clain;17.8;207;200069854;22430;6.5
200043693;CC Terre Lorraine du Longuyonnais;20;67;245400262;21980;3.2
200043776;CC Pyrénées Audoises;34.2;165;null;17560;4.2
200043974;CC du Sud Gironde;20.7;432;243300316;20640;5.4
200043982;CC du Bazadais;25.9;143;200043974;19730;4.2
200043990;CC Vallons de Haute-Bretagne Communauté;14.7;297;243500139;21860;6.4
200044014;CC Creuse Grand Sud;29;97;null;18730;5.1
200044030;CC des Sept Vallées;22.5;180;200069029;18980;3.2
