Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
241000447;CC du Pays d'Othe;23.9;57;null;20390;4.1
241000488;CC de l'Orvin et de l'Ardusson;20.7;47;null;21710;3.2
241100593;CA Le Grand Narbonne;26;1537;200035863;19420;6.2
241200187;CA Rodez Agglomération;21.6;622;243100518;22170;8.1
241200542;CC du Réquistanais;33.5;38;null;19260;3.1
241200567;CC de Millau Grands Causses;25.4;280;null;20030;5.9
241200625;CC du Pays Rignacois;23.3;50;null;21060;5.8
241200641;CC Conques-Marcillac;25.6;98;null;22090;6.1
241200658;CC du Pays de Salars;21.8;61;null;21810;4.5
241200674;CC du Plateau de Montbazens;27.9;48;null;20500;4.1
241200765;CC de Lévézou Pareloup;29.1;36;null;19560;3.5
241200807;CC Aveyron Bas Ségala Viaur;32.3;44;null;19090;4.2
241200906;CC Larzac et Vallées;26;53;null;19090;6
241200914;CC de la Muse et des Raspes du Tarn;29.4;48;null;19290;4.5
241300375;CC Vallée des Baux-Alpilles (CC VBA);28.3;456;200054807;22630;9
241300417;CA d'Arles-Crau-Camargue-Montagnette;23.3;1049;200054807;19220;6.5
241400415;CC Cœur Côte Fleurie;35.8;311;241400878;21580;7.7
241400514;CC du Pays de Falaise;19.4;175;200065597;20630;4.4
241400555;CC de Bayeux Intercom;25.1;247;200066801;21890;6.4
241400860;CC Cœur de Nacre;26.4;225;200065597;24230;9.9
241400878;CC Terre d'Auge;22.6;235;200065597;22120;6.2
241500230;CA du Bassin d'Aurillac;23.8;362;200066678;21500;5.6
241500255;CC du Pays Gentiane;32.7;44;null;19240;3.3
241500271;CC du Pays de Mauriac;30.1;33;null;20020;3.7
241501055;CC Sumène - Artense;31.2;48;null;19850;3.3
241501089;CC Cère et Goul en Carladès;28.4;42;null;20440;3.6
241501139;CC du Pays de Salers;33.1;33;null;19240;2.8
241600303;CC du Rouillacais;23.6;77;null;20610;3.8
241700434;CA de la Rochelle;23.9;2558;200041499;22740;10.6
241700459;CC de l'Île de Ré;33.9;315;241700434;24980;9.2
241700517;CC Cœur de Saintonge;20.7;155;200036473;20790;4.3
241700624;CC de l'Île d'Oléron;35.3;319;null;21300;4.4
241700632;CC de Gémozac et de la Saintonge Viticole;23;134;200036473;20120;3.4
241700640;CA Royan Atlantique;38.2;969;241700434;21750;5
241700699;CC du Bassin de Marennes;28.7;131;null;20020;3.1
241800374;CC La Septaine;15.8;49;241800507;21280;3.6
241800424;CC Le Dunois;25.4;42;null;20840;3.3
241800432;CC Les Trois Provinces;30.8;34;null;18510;2.5
241800457;CC Fercher Pays Florentais;24.1;84;null;20860;3.2
241800507;CA Bourges Plus;22.8;894;200066330;21670;8.4
241900133;CC de Ventadour - Egletons - Monédières;25.8;77;null;20110;4.5
241927201;CA Tulle Agglo;26.3;276;200043172;21540;5
241927243;CC du Pays d'Uzerche;28.5;80;null;20870;4.8
242000354;CA de Bastia;21.4;649;200036499;20340;9.6
242000495;CC de l'Alta Rocca;26.7;156;null;20380;6.9
242000503;CC Celavu-Prunelli;22.3;121;242010056;23880;7.5
242010056;CA du Pays Ajaccien;21.7;1106;242000503;22160;7.3
242010130;CC du Sartenais Valinco Taravo;26.3;182;null;20310;6.8
242020071;CC du Centre Corse;18.5;118;null;20130;13
242020105;CC de Calvi Balagne;21.8;216;null;19330;6.1
242100154;CC des Vallées de la Tille et de l'Ignon;17.8;123;242100410;23350;7.5
242100410;Dijon Métropole;18.9;3398;200054781;22050;12.7
242101434;CC du Pays Châtillonnais;28;118;null;19980;3.7
242101442;CC de Saulieu;30.2;40;null;19910;3.7
242101459;CC du Pays d'Alésia et de la Seine;24.6;50;null;20820;4.2
242101491;CC du Montbardois;27.5;70;null;20750;4.2
242101509;CC Rives de Saône;20.6;145;242100410;20890;3.2
242200715;CC du Kreiz-Breizh (CCKB);28.7;125;null;19420;4.3
242300135;CC du Pays Sostranien;28.7;64;null;19390;4.2
242320000;CC de Bénévent Grand Bourg;32.5;41;null;19260;3.5
242320109;CC du Pays Dunois;35.8;41;null;19320;3.9
242400752;CC Périgord-Limousin;32.2;150;null;19450;4.1
242400935;CC du Pays de Saint-Aulaye;32.3;63;null;18830;3.4
242401024;CC Isle-Loue-Auvézère en Périgord;31.1;108;null;19720;3.9
242500320;CC de Montbenoît;13.5;63;null;26620;3.7
242500338;CC du Grand Pontarlier;18.5;294;242500361;25300;6
242500361;CU Grand Besançon Métropole;18.5;2187;242100410;21850;11.8
242504116;CC du Val de Morteau;16.6;173;null;31410;6.4
242504181;CC des Portes du Haut-Doubs;16.1;196;242500361;23510;4.1
242504355;CC du Plateau de Russey;13.8;38;null;29930;3.2
242504371;CC du Pays de Sancey-Belleherbe;22.6;39;null;21530;3.5
242504447;CC du Doubs Baumois;20.7;103;242500361;21730;5.1
242504488;CC Altitude 800;17.3;37;null;23140;2.9
242504496;CC du Plateau de Frasne et du Val de Drugeon (CFD);14.8;53;null;26030;3.5
242600252;CC du Val de Drôme en Biovallée;19.6;357;200068781;21500;7.1
242600492;CC Dieulefit-Bourdeaux;28.9;133;null;20410;9.5
242600534;CC du Diois;26.8;176;null;19160;8.4
242700276;CC du Pays de Conches;17.7;132;200071454;21650;4.3
242700607;CC du Pays du Neubourg;17.2;151;200066413;22960;4.3
242852465;CC du Bonnevalais;22.6;74;null;21770;3.3
242900074;CC du Pays d'Iroise;20.9;309;242900314;23440;9.1
242900314;Brest Métropole;17.8;1826;242900074;21660;12.2
242900553;CC du Pays des Abers;18.8;298;242900314;22440;5.9
242900561;CC de Haute-Cornouaille;26;91;null;19560;3.2
242900629;CC Cap Sizun - Pointe du Raz;37.1;98;null;20710;5
242900645;CC Douarnenez Communauté;28.4;120;null;20710;6.6
242900660;CC du Pays Fouesnantais;28.1;236;200068120;24270;9.3
242900694;CA Quimperlé Communauté;23.9;375;200042174;21450;4.8
242900702;CC du Pays Bigouden Sud;30.3;293;200068120;22120;6.3
242900710;CC du Haut Pays Bigouden;23.4;116;200068120;21270;4.5
242900744;CC Poher communauté;26.6;82;null;20460;4.2
242900751;CC du Pays de Landivisiau;17.7;198;242900314;20710;4.3
242900769;CA Concarneau Cornouaille Agglomération;27.1;390;200068120;21720;5.6
242900793;CC Communauté Lesneven Côte des Légendes;22;173;242900314;21500;5
242900801;CC du Pays de Landerneau-Daoulas;17.8;326;242900314;22910;8.3
242900835;CA Morlaix Communauté;25.5;465;242900314;21220;6.2
243000270;CC du Pays Viganais;28.1;108;null;17720;6.6
243000296;CC du Pays de Sommières;18.9;346;243000643;21730;9.1
243000569;CC Rhony, Vistre, Vidourle;18.4;375;243000643;22630;8.2
243000585;CC Beaucaire Terre d'Argence;18.4;310;243000643;18930;4.2
243000593;CC de Petite Camargue;19.2;309;243000643;20260;5.4
243000643;CA de Nîmes Métropole;20.4;3339;243400017;19550;8
243000650;CC Terre de Camargue;28.9;308;null;20880;5.1
243000684;CC du Pont du Gard;18.9;276;243000643;21180;6.9
243100518;Toulouse Métropole;14.7;15208;200054781;22880;21.2
243100567;CC Lauragais Revel Sorezois;26.4;202;null;20430;6.3
243100633;CA du Sicoval;16.7;1102;243100518;26670;24.3
243100732;CC des Coteaux du Girou;16.1;307;243100518;26590;14.2
243100773;CC de Val'Aïgo;18.5;191;243100518;21840;6.9
243100781;CC de la Save au Touch;13.6;521;243100518;25550;17.1
243100815;CC des Coteaux Bellevue;17.3;260;243100518;26700;14
243200391;CC de la Lomagne Gersoise;29.4;195;null;20120;5.3
243200409;CC du Bas Armagnac;29.4;75;null;20140;4.5
243200417;CC de la Tenarèze;31.1;145;null;19470;4.7
243200425;CC Cœur d'Astarac en Gascogne;31.3;74;null;19250;4.4
243200458;CC du Grand Armagnac;30.8;120;null;19340;4.4
243200508;CC Bastides et Vallons du Gers;32.7;66;null;19070;5.3
243200599;CC du Saves;25.4;106;null;21850;7
243200607;CC Artagnan de Fezensac;33.3;72;null;19650;4.6
243300316;Bordeaux Métropole;16.3;15999;200054781;22760;16.4
243300563;CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS);30.7;1068;243300316;23380;8.7
243300811;CC de l'Estuaire;21.1;141;200023794;19100;2.8
243301165;CC Jalle-Eau-Bourde;21;394;243300316;26460;13
243301181;CC Latitude Nord Gironde;15.6;264;200023794;20180;3.2
243301215;CC du Créonnais;15.7;225;243300316;22720;6.6
243301223;CC du Grand Cubzaguais;16.2;437;243300316;21520;5.5
243301249;CC du Secteur de Saint-Loubès;18.3;370;243300316;23470;7.4
243301264;CC de Montesquieu;16.1;574;243300316;24980;11
243301355;CC des Coteaux Bordelais;20.1;315;243300316;25060;10.6
243301371;CC du Pays Foyen;28.5;119;null;18500;4.1
243301389;CC Médullienne;14.3;293;243300316;22840;5.1
243301397;CC du Fronsadais;18.9;210;200070092;22280;6
243301405;CC du Val de l'Eyre;15.3;280;243300316;23100;6.5
243301439;CC des Portes de l'Entre-deux-Mers;20;358;243300316;24830;12
243301447;CC Médoc Estuaire;15.1;329;243300316;23660;6.4
243301454;CC Castillon/Pujols;23.7;201;null;19740;4.6
243301504;CA du Bassin d'Arcachon Nord;25.9;1058;243300316;23770;7.2
243400017;Montpellier Méditerranée Métropole;16.3;10245;200054781;21100;18
243400355;CC du Clermontais;21.7;317;243400694;19390;6.8
243400470;CA du Pays de l'Or;25.9;889;243400017;22730;10.7
243400488;CC La Domitienne;23.2;303;243400769;20280;4.8
243400520;CC du Pays de Lunel;18.6;794;243400017;19760;7.2
243400694;CC Vallée de l'Hérault;18.2;500;243400017;20840;9.3
243400736;CC des Cévennes Gangeoises et Suménoises;26.4;131;null;18690;6.2
243400769;CA de Béziers-Méditerranée;24.8;1795;243400488;17940;5.9
243400819;CA Hérault-Méditerranée;27.2;1062;243400017;19070;5.4
243500139;Rennes Métropole;15.1;5914;200054781;23130;17.1
243500550;CC Montfort Communauté;15.6;178;243500139;22820;7.2
243500618;CC de Brocéliande;15.8;134;243500139;22290;6.7
243500634;CC Roche aux Fées Communauté;18.2;175;243500139;21290;4.9
243500659;CC Pays de Châteaugiron Communauté;13.7;210;243500139;24550;12.7
243500667;CC du Val d'Ille-Aubigné;13.7;299;243500139;23380;10.5
243500725;CC Côte d'Émeraude;33.2;366;200068989;23400;9.3
243500733;CC Bretagne Romantique;17.7;230;243500139;21330;6.4
243500741;CA Redon Agglomération;22;500;243500139;20250;4
243500774;CC Liffré-Cormier Communauté;13.9;169;243500139;23240;10
243500782;CA du Pays de Saint Malo Agglomération;26.4;930;243500139;21890;7.9
243600202;CC Chabris - Pays de Bazelle;32;30;null;20130;2.4
243600236;CC du Pays d'Issoudun;26.5;92;null;20700;4.2
243600293;CC de la Région de Levroux;25.5;40;null;20630;2.4
243600301;CC Val de l'Indre - Brenne;24.8;77;243600327;20280;2.9
243600319;CC Brenne - Val de Creuse;29;111;null;19630;3.9
243600327;CA Châteauroux Métropole;22.7;593;243600301;20690;5.3
243600343;CC Cœur de Brenne;32.8;23;null;19290;2.7
243600350;CC de la Châtre et Sainte-Sévère;30.6;106;null;19970;3.5
243700499;CC du Castelrenaudais;18.7;90;null;21330;5.1
243700754;Tours Métropole Val de Loire;20.4;3755;200054781;21580;12.2
243700820;CC de Bléré Val de Cher;20.9;168;243700754;22620;5.3
243800604;CA Porte de l'Isère (C.A.P.I);14.1;1460;200046977;21630;7.8
243800745;CC de l'Oisans;18.1;203;null;22260;6.1
243800935;CC Lyon Saint Exupéry en Dauphiné;14.8;371;200068542;22560;5.4
243800984;CA du Pays Voironnais;19.7;1048;200040715;23770;11.9
243801024;CC du Massif du Vercors;18.9;185;200040715;24180;15.6
243801073;CC de Bièvre Est;16.9;238;243800984;23010;6.2
243801255;CC des Collines du Nord Dauphiné;16.5;306;200046977;25360;7.7
243900354;CC de la Station des Rousses-Haut Jura;13;73;null;33300;7.9
243900420;CC du Val d'Amour;23;71;null;21050;4.4
243900479;CC du Haut-Jura - ARCADE;16.8;73;null;24710;4.5
243900560;CC Jura Nord;18.2;98;null;21790;5.5
243900610;CC La Grandvallière;18.4;37;null;25000;3.9
243901089;CC de la Plaine Jurassienne;24.2;59;null;20640;2.2
244000543;CC de Mimizan;31.1;179;null;20890;4.8
244000659;CC du Seignanx;21.2;322;200067106;22480;6.5
244000675;CA du Grand Dax;26.1;680;244000865;21080;6
244000691;CC du Pays Morcenais;29.4;57;null;20380;3.6
244000766;CC du Pays Tarusate;23.8;140;null;20990;3.2
244000774;CC du Pays de Villeneuve en Armagnac Landais;24.5;39;null;20670;3.9
244000808;CA Mont-de-Marsan Agglomération;20.4;531;243300316;21520;6.5
244000824;CC du Pays Grenadois;22.4;44;null;21050;3.8
244000857;CC Côte Landes Nature;27.5;170;null;21710;5.2
244000865;CC Maremne Adour Côte Sud;24.5;1238;200067106;22210;7.9
244000873;CC des Grands Lacs;25.8;406;243300316;22040;5.7
244000881;CC Coteaux et Vallées des Luys;26.8;52;null;20750;3.8
244100293;CC des Collines du Perche;29;39;null;20300;3.1
244100780;CC de la Sologne des Étangs;25.8;65;null;21000;4
244100798;CC du Grand Chambord;20.9;137;200030385;23280;5
244100806;CC de la Sologne des Rivières;30.6;51;null;20840;3.6
244200614;CC des Vals d'Aix et Isable;25;53;null;20360;4.3
244200622;CC des Monts du Pilat;22.3;124;244200770;22350;7.2
244200630;CC du Pays entre Loire et Rhône;21.4;103;200035731;20870;3.5
244200770;Saint-Etienne Métropole;21;4940;200065886;20110;6.9
244200820;CC du Pays d'Urfé;27.2;34;null;19440;2.9
244200895;CC du Pilat Rhodanien;19.4;201;null;23120;6.6
244300307;CC du Pays de Montfaucon;24.2;60;null;20660;3.4
244301016;CC des Sucs;22.5;139;null;20770;4.4
244301099;CC Auzon Communauté;25.6;68;null;20230;2.7
244301107;CC du Haut-Lignon;28;67;null;20010;5.1
244301123;CC des Pays de Cayres et de Pradelles;28.5;23;null;18870;2.8
244301131;CC Loire et Semène;18.5;146;244200770;22110;4.9
244400404;Nantes Métropole;16.1;9847;200054781;23390;16.6
244400438;CC de Grand Lieu;14.4;342;244400404;22780;6.1
244400453;CC de la Région de Blain;17.3;112;null;21260;5.1
244400503;CC d'Erdre et Gesvres;13.5;630;244400404;23990;10
244400537;CC de Nozay;14.5;94;null;20630;4.7
244400552;CC du Pays d'Ancenis;17;468;244400404;21510;5.3
244400586;CC du Sud-Estuaire;22.1;270;200067346;22240;4.8
244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);30.5;857;244400644;23330;7.5
244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);21.5;1091;244400404;21510;6.4
244500203;CA Montargoise et Rives du Loing (A.M.E.);23;567;244500468;19650;5.6
244500211;CC Giennoises;22.9;169;null;20780;4.5
244500419;CC des Quatre Vallées;21.9;118;null;21740;3.8
244500427;CC des Loges;18.5;341;244500468;23670;7.6
244500468;Orléans Métropole;17.2;3271;200054781;22140;11.9
244500484;CC de la Forêt;16.5;119;244500468;24010;6.7
244500542;CC de la Plaine du Nord Loiret;18.2;30;null;22030;3.9
244600433;CC de la Vallée du Lot et du Vignoble;32.6;135;null;20520;5.4
244600482;CC Quercy - Bouriane;33.1;94;null;19960;4.7
244600532;CC du Pays de Lalbenque-Limogne;27.9;106;null;20960;6.5
244600573;CC du Causse de Labastide-Murat;32;34;null;20310;6.1
244700449;CC du Pays de Duras;30.1;74;null;18680;5.1
244700464;CC du Pays de Lauzun;34.5;90;null;18690;3.5
244701355;CC des Coteaux et Landes de Gascogne;30.6;104;200030674;20290;3.5
244701405;CC Lot et Tolzac;28.2;68;null;19290;4.6
244800405;CC Cœur de Lozère;18.7;100;null;21900;7.3
244800470;CC du Gévaudan;25;62;null;20980;4.7
244900015;CU Angers Loire Métropole;18.5;3322;200071553;21780;11.4
244900809;CC Anjou Bleu Communauté;21.4;212;244900015;19980;3.2
244900882;CC Baugeois Vallée;20.7;177;244900015;20270;3.8
245100615;CC de la Grande Vallée de la Marne;22.2;82;200067684;25010;5.5
245100888;CC de la Brie Champenoise;22.5;41;null;20770;3.5
245100979;CC du Sud Marnais;21.3;40;null;21040;2.6
245200597;CC des Trois Forêts;25.9;36;200068658;20710;2.9
245300223;CC du Pays de Meslay-Grez;18.7;79;200083392;20530;4.1
245300355;CC de l'Ernée;22.3;114;200083392;20180;2.7
245300389;CC du Bocage Mayennais;28.8;140;200055887;19450;2.2
245300447;CC du Pays de Château-Gontier;21.4;206;null;20920;4.6
245400171;CC Moselle et Madon;20.8;197;245400676;23240;6.9
245400189;CC des Pays du Sel et du Vermois;20.7;218;245400676;22030;4.8
245400262;CA de Longwy;18.5;340;200043693;21220;4.8
245400510;CC du Pays de Colombey et du Sud Toulois;16.7;86;null;21180;3.5
245400601;CC du Bassin de Pompey;21.3;317;245400676;22100;6.2
245400676;Métropole du Grand Nancy;17.7;3245;245400601;21320;14.8
245400759;CC du Pays du Sanon;19.6;37;null;21850;3
245500327;CC du Sammiellois;22.7;56;null;20240;2.8
245501176;CC du Territoire de Fresnes-en-Woëvre;21;29;null;21050;3.9
245501184;CC du Pays de Revigny-sur-Ornain;21.2;27;null;20800;2.8
245501242;CC du Pays d'Étain;19.4;51;null;20150;2.9
245501259;CC du Pays de Montmédy;17.2;35;null;21250;2.8
245600440;CC de Blavet Bellevue Océan;18.7;121;200042174;22500;5.3
245600465;CC de Belle-Île-en-Mer;27.6;51;null;21900;6.1
245614383;CC Questembert Communauté;21.3;162;200067932;20880;4.2
245614417;CC Roi Morvan Communauté;29.1;183;null;19240;3.4
245614433;CC Pontivy Communauté;22.1;281;200042174;20830;4.1
245700133;CC du District Urbain de Faulquemont (DUF);18.8;174;200067502;21470;4.1
245700372;CA de Forbach Porte de France;19.9;496;200070746;19290;4.2
245700398;CC de Freyming-Merlebach;21.7;252;245700372;18340;3.2
245700695;CC de Cattenom et Environs;13.5;167;245701362;30530;12.7
245700950;CC du Pays de Phalsbourg;18.7;108;200068146;22110;4.1
245701164;CC du Warndt;20.9;89;200067502;19890;2.8
245701206;CC du Saulnois;20.5;167;null;20810;3.6
245701222;CA du Val de Fensch;20.3;482;245701362;19830;3.5
245701271;CC du Pays Orne Moselle;19.3;366;200039949;20870;4
245701354;CC de l'Arc Mosellan;16.7;206;245701362;25030;6.3
245701362;CA Portes de France-Thionville;19;645;245701222;23480;10.7
245701404;CC du Pays Haut Val d'Alzette;18.8;127;245701362;23220;4.2
245801063;CC Loire et Allier;22.5;50;null;22890;5.3
245804406;CA de Nevers;25.1;451;200068088;20470;5.5
245804497;CC du Nivernais Bourbonnais;25.2;31;null;19880;3.3
245900428;CU de Dunkerque;18.6;1441;200040954;19410;5
245900758;CC Flandre Lys;17.3;268;200072460;21700;5.4
245901038;CC du Pays Solesmois;19.5;80;200030633;20350;4.8
245901152;CC Cœur d'Ostrevent;17;416;200044618;18730;3.5
245901160;CA Valenciennes Métropole;16.8;1699;200042190;18530;6.5
246000129;CC du Liancourtois;16;200;246000376;22160;4.4
246000376;CC du Clermontois;16.1;256;200067999;22830;5.6
246000566;CC du Plateau Picard;15.7;173;246000376;21400;3.5
246000582;CC des Sablons;13.8;333;200067999;22560;4.5
246000707;CC du Vexin-Thelle;16.9;161;null;24240;6.2
246000749;CC des Lisières de l'Oise;18.9;122;null;22850;6.9
246000756;CC du Pays Noyonnais;17.9;173;200067965;19640;3.4
246000764;CC de l'Aire Cantilienne;20.6;598;200054781;29320;17.8
246000772;CC des Deux Vallées;18.8;141;200067965;22190;4
246000848;CC de la Picardie Verte;18.7;155;200067999;20580;3.5
246000855;CC du Pays des Sources;15.8;160;200067965;22850;5
246000871;CC du Pays de Valois;14.5;419;null;24160;5.7
246000897;CC de la Plaine d'Estrées;15.2;137;200067965;24120;5.7
246000913;CC du Pays de Bray;15.8;114;200067999;21840;4
246000921;CC des Pays d'Oise et d'Halatte;16;297;null;23400;6.7
246100390;CC du Val d'Orne;22.7;33;null;19930;4.7
246100663;CU d'Alençon;22.8;368;200065597;20730;5.8
246200299;CA d'Hénin-Carvin;16.4;889;246200364;18080;3.2
246200364;CA de Lens - Liévin;17.2;1623;200072460;17580;3.2
246200380;CC de la Terre des Deux Caps;17.2;165;246200729;20180;5.1
246200729;CA du Boulonnais;19.5;879;200018083;18720;5.5
246200844;CC de la Région d'Audruicq;14.6;168;200090751;20990;3.7
246201016;CC du Pays de Lumbres;15.6;127;200069037;20070;3.6
246300701;Clermont Auvergne Métropole;20;3455;200070753;21920;13
246300966;CC du Massif du Sancy;26.2;111;null;20460;4.2
246301097;CC Entre Dore et Allier;20.2;140;200070712;22140;5
246400337;CC de la Vallée d'Ossau;27.3;91;null;20560;6
246401756;CC Pays de Nay;21.1;246;200067254;22350;7.9
246500482;CC de la Haute-Bigorre;30.3;203;null;20500;6.9
246500573;CC Aure-Louron;25;85;null;20520;6.7
246600282;CC Sud-Roussillon;30.1;268;200027183;20810;6.1
246600373;CC du Vallespir;31;206;null;19960;6.6
246600399;CC Pyrénées Cerdagne;20.6;106;null;20360;7.1
246600415;CC Roussillon-Conflent;22.4;191;200027183;19120;4.9
246600423;CC Agly Fenouillèdes;30.7;55;null;16980;3.7
246600449;CC des Aspres;21.1;227;200027183;20270;6
246600464;CC Pyrénées catalanes;18.1;94;null;20540;7.8
246600548;CC du Haut Vallespir;36.5;104;null;18070;4.9
246700306;CC de la Vallée de la Bruche;21.4;140;246701064;21530;3.6
246700488;Eurométropole de Strasbourg;16.3;6942;200054781;20760;16
246700744;CC des Portes de Rosheim;19.4;161;null;26150;10
246700777;CC de la Vallée de Villé;21.1;68;null;23330;5.9
246700843;CC de la Basse-Zorn;19;132;null;25270;6
246700926;CC du Pays de Wissembourg;20.6;102;null;23370;6.5
246700959;CC du Pays de la Zorn;18.3;106;null;24760;6.1
246700967;CC de Sélestat;17.7;330;246800726;22710;8.2
246701064;CC de la Région de Molsheim-Mutzig;17.7;329;246700488;24110;6.9
246701080;CC du Pays de Sainte-Odile;20.2;182;null;23850;8.9
246701098;CC du Pays de Niederbronn-les-Bains;21.1;144;200067874;22430;3.6
246800205;CC de la Vallée de Saint-Amarin;24.7;69;null;21870;3
246800395;CC du Val d'Argent;20.6;51;null;20380;3.7
246800445;CC du Centre du Haut-Rhin;16.9;118;200066009;24150;4.9
246800494;CC du Pays de Rouffach, Vignobles et Châteaux;20.2;110;null;25430;8.6
246800551;CC de la Vallée de Kaysersberg;22.3;139;246800726;24010;6.4
246800569;CC de la Région de Guebwiller;20;297;200066009;22820;5.9
246800577;CC du Pays de Ribeauvillé;22.1;155;246800726;24150;6.8
246800585;CC de la Vallée de Munster;23.2;111;246700488;22110;5.4
246800676;CC de la Vallée de la Doller et du Soultzbach;19.6;113;null;23670;4.8
246800726;CA Colmar Agglomération;19.5;1056;246700488;22150;9.4
246900575;CC de l'Est Lyonnais (CCEL);16.5;555;200046977;27160;10.5
246900625;CC du Pays de l'Arbresle (CCPA);17.7;474;200046977;25570;11.9
246900724;CC des Vallons du Lyonnais (CCVL);17.7;401;200046977;26270;13.2
246900740;CC du Pays Mornantais (COPAMO);15.9;340;200046977;25910;10.2
246900757;CC de la Vallée du Garon (CCVG);19.4;542;200046977;27290;15.5
246900765;CC du Pays de l'Ozon;18.3;354;200046977;26620;10.8
247000011;CA de Vesoul;22.3;288;242500361;20870;6.3
247000367;CC des Combes;21.1;42;null;21050;4
247000623;CC des Quatre Rivières;27.9;76;null;20430;2.8
247000664;CC du Pays de Lure;20.6;143;null;20600;4.2
247000698;CC des Monts de Gy;18.8;39;null;21130;4.2
247000706;CC du Pays Riolais;15.8;84;242500361;22580;6.9
247000714;CC du Pays de Villersexel;23.5;36;null;20430;2.8
247000722;CC du Pays d'Héricourt;20.9;146;200069052;21660;5.3
247000755;CC du Pays de Luxeuil;23.5;97;null;19270;4.3
247000821;CC Rahin et Chérimont;20.2;69;null;20990;4.9
247000854;CC des 1000 étangs;26.5;61;null;20010;3.1
247100290;CU Le Creusot Montceau-les-Mines;27.1;665;242100410;20160;4.2
247100589;CA Le Grand Chalon;21.7;1058;242100410;21300;6.7
247100639;CC de Marcigny;29.6;34;null;20040;4.5
247100647;CC Bresse Nord Intercom;30.3;53;null;20010;2.5
247103765;CC Entre Saône et Grosne;22.2;93;null;21920;5.7
247103864;CC du Canton de Semur-en-Brionnais;26.9;24;null;21120;5.4
247104094;CC Sud Côte Chalonnaise;23;103;247100589;22660;7.8
247200090;CC de Sablé-sur-Sarthe;20;139;247200132;20490;3.8
247200132;CU Le Mans Métropole;21.1;1905;200054781;20930;8.7
247200348;CC du Pays Fléchois;20.3;136;null;20700;4
247200421;CC du Sud Est du Pays Manceau;19.2;121;247200132;22890;5.6
247200447;CC Orée de Bercé - Belinois;18.3;124;247200132;21940;4.2
247200629;CC du Val de Sarthe;18.3;155;247200132;22300;4.3
247200686;CC du Pays de l'Huisne Sarthoise;22.1;127;200072684;21100;3.6
247300015;CC des Vallées d'Aigueblanche;19.5;90;null;22970;3.9
247300254;CC de Haute-Tarentaise;14.7;362;null;23070;7.2
247300262;CC de Yenne;20.4;65;null;23070;5.7
247300361;CC du Canton de la Chambre;22.3;49;null;23110;4.2
247300452;CC Maurienne Galibier;24;56;null;22490;4.2
247300528;CC Val Guiers;20.5;125;null;22070;5.3
247300668;CC du Lac d'Aiguebelette (CCLA);18.4;74;null;24650;10.5
247300676;CC Porte de Maurienne;19.5;52;null;22130;4.3
247300817;CC Les Versants d'Aime;16;182;null;23330;5.7
247400047;CC de la Vallée Verte;13.7;81;null;29120;8.5
247400112;CC du Pays de Cruseilles;11.8;184;200066793;35010;14.5
247400567;CC Fier et Usses;13.4;195;200066793;27880;8.9
247400583;CC Arve et Salève;14.9;185;null;32570;9.6
247400617;CC des Vallées de Thônes;16.9;263;200066793;24820;7.8
247400666;CC des Quatre Rivières;14.1;195;null;30200;8.4
247400682;CC du Haut-Chablais;17.7;457;null;24570;6.3
247400690;CC du Genevois;12.4;408;200011773;37480;15.5
247400724;CC du Pays Rochois;12.8;296;200000172;29310;9.7
247400740;CC Rumilly Terre de Savoie;15.3;320;200066793;24240;5.3
247400773;CC des Sources du Lac d'Annecy;22.9;183;200066793;23670;6.3
247600505;CC Campagne-de-Caux;16.5;88;200084952;22920;4.5
247600588;CC des Villes Sœurs;25.5;218;200070944;19870;3.2
247600604;CC de Londinières;21.3;25;null;19580;3.2
247600620;CC Yvetot Normandie;19.7;160;200023414;21930;5.3
247600646;CC Caux - Austreberthe;18.3;154;200023414;21230;4
247600729;CC Falaises du Talou;18.5;160;247600786;20950;3
247600786;CA de la Région Dieppoise;24.9;376;247600729;19680;5.6
247700032;CC Moret Seine et Loing;18.8;465;200072346;24640;9.6
247700057;CA Melun Val de Seine;14.8;2005;200054781;21450;9.1
247700065;CC du Pays de l'Ourcq;13.4;165;null;22630;4.2
247700107;CC Pays de Montereau;17.6;448;200054781;19560;3.6
247700339;CA Val d'Europe Agglomération;9.6;849;247700594;26570;12.4
247700594;CA Marne et Gondoire;11.2;1798;200054781;25620;13.8
247700644;CC l'Orée de la Brie;15;370;200054781;25560;7.6
247700701;CC Brie Nangissienne;13.9;268;null;22490;4.3
247800550;CC du Pays Houdanais (C.C.P.H.);17;344;200040277;27360;10.8
247800584;CA Versailles Grand Parc (C.A.V.G.P.);17.8;4201;200054781;30540;29.8
247800618;CC Cœur d'Yvelines;18.1;676;200054781;30760;17.6
247900798;CC du Thouarsais;24.3;209;200040244;19810;3.1
248000499;CC du Val de Somme;18.2;151;248000531;22200;5.3
