Exercice;Outre-mer;Code Insee 2020 Région;Nom 2020 Région;Code Insee 2020 Département;Nom 2020 Département;Strate population 2020;Nature juridique 2020 abrégée;Mode de financement 2020 abrégé;Tranche revenu par habitant;Présence QPV;Code Siren 2020 EPCI;Nom 2020 EPCI;Catégorie;Code Siren Collectivité;Libellé Budget;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2019 disponible;agregat_niveau;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;Remarque;ordre_affichage
2019;Non;44;Grand Est;10;Aube;0;CC;FA;1;Non;200071041;CC du Chaourçois et du Val d'Armance;GFP;200071041;CC CHAOURCOIS ET VAL D'ARMANCE;Dépenses totales;3532592.23;3.53259223;10835;326.0352773419474;1;1;;1;;;;;;;;;NA;
2019;Non;76;Occitanie;34;Hérault;2;CC;FPU;1;Non;200071058;CC Les Avant-Monts;GFP;200071058;CC LES AVANTS MONTS;Dépenses totales;13942080.3;13.9420803;26947;517.3889598099975;1;1;;1;;;;;;;;;NA;
2019;Non;44;Grand Est;54,88;Meurthe-et-Moselle,Vosges;3;CA;FPU;1;Oui;200071066;CA de Saint-Dié-des-Vosges;GFP;200071066;CA SDDV;Dépenses totales;35334982.91;35.334982909999994;77932;453.40788007493705;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;78;Yvelines;1;CC;FPU;2;Non;200071074;CC Les Portes de l'Ile de France;GFP;200071074;CC LES PORTES DE L'ILE DE FRANCE;Dépenses totales;5852494.87;5.85249487;22835;256.29493628202323;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;03;Allier;3;CA;FPU;1;Oui;200071082;CA Montluçon Communauté;GFP;200071082;CA MONTLUCON COMMUNAUTE;Dépenses totales;59278633.59;59.278633590000005;64249;922.639007455369;1;1;;1;;;;;;;;;NA;
2019;Non;27;Bourgogne-Franche-Comté;39;Jura;2;CA;FPU;1;Oui;200071116;CA ECLA  (Espace Communautaire Lons Agglomération);GFP;200071116;CA ECLA 2;Dépenses totales;29556006.9;29.5560069;36085;819.0662851600388;1;1;;1;;;;;;;;;NA;
2019;Non;27,84;Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté;03,58;Allier,Nièvre;3;CA;FPU;1;Oui;200071140;CA Moulins Communauté;GFP;200071140;CA MOULINS COMMUNAUTE;Dépenses totales;34968499.64;34.96849964;67887;515.0986144622682;1;1;;1;;;;;;;;;NA;
2019;Non;44;Grand Est;88;Vosges;2;CC;FA;1;Non;200071157;CC des Hautes-Vosges;GFP;200071157;CC HAUTES VOSGES;Dépenses totales;10942783.64;10.94278364;37772;289.70622789367786;1;1;;1;;;;;;;;;NA;
2019;Non;52;Pays de la Loire;85;Vendée;3;CA;FPU;2;Non;200071165;CA Les Sables d'Olonne Agglomération;GFP;200071165;CA LES SABLES-D'OLONNE AGGLO;Dépenses totales;42039351.05;42.03935105;53622;783.9944621610532;1;1;;1;;;;;;;;;NA;
2019;Non;27;Bourgogne-Franche-Comté;21;Côte-d'Or;0;CC;FA;1;Non;200071173;CC du Pays Arnay Liernais;GFP;200071173;CC PAYS ARNAY LIERNAIS;Dépenses totales;3407213.24;3.4072132400000004;7432;458.45172766415504;1;1;;1;;;;;;;;;NA;
2019;Non;32;Hauts-de-France;80;Somme;2;CC;FA;1;Non;200071181;CC Somme Sud-Ouest;GFP;200071181;CC SOMME SUD OUEST;Dépenses totales;34588472.44;34.58847244;39455;876.656252439488;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;63;Puy-de-Dôme;1;CC;FPU;1;Non;200071199;CC Plaine Limagne;GFP;200071199;CC PLAINE LIMAGNE;Dépenses totales;6292784.62;6.29278462;21494;292.7693598213455;1;1;;1;;;;;;;;;NA;
2019;Non;27;Bourgogne-Franche-Comté;21;Côte-d'Or;0;CC;FA;1;Non;200071207;CC de Pouilly-en-Auxois/Bligny-sur-Ouche;GFP;200071207;CC POUILLY BLIGNY;Dépenses totales;5020216.44;5.0202164400000004;8910;563.4361885521886;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;63;Puy-de-Dôme;0;CC;FPU;1;Non;200071215;CC Chavanon Combrailles et Volcans;GFP;200071215;CC CHAVANON COMBRAILLES ET VOLCANS;Dépenses totales;5528729.84;5.52872984;13224;418.083018753781;1;1;;1;;;;;;;;;NA;
2019;Non;32;Hauts-de-France;80;Somme;2;CC;FPU;1;Non;200071223;CC Nièvre et Somme;GFP;200071223;CC NIEVRE ET SOMME;Dépenses totales;9505762.95;9.50576295;28670;331.55782874084406;1;1;;1;;;;;;;;;NA;
2019;Non;76;Occitanie;31;Haute-Garonne;2;CC;FPU;1;Non;200071298;CC des Terres du Lauragais;GFP;200071298;CC DES TERRES DU LAURAGAIS;Dépenses totales;23252832.2;23.2528322;39773;584.6386292208282;1;1;;1;;;;;;;;;NA;
2019;Non;76;Occitanie;31;Haute-Garonne;2;CC;FPU;2;Non;200071314;CC des Hauts Tolosans;GFP;200071314;CC DES HAUTS TOLOSANS;Dépenses totales;14215650.73;14.21565073;33629;422.7199955395641;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;03;Allier;3;CA;FPU;1;Oui;200071363;CA Vichy Communauté;GFP;200071363;CA VICHY COMMUNAUTE;Dépenses totales;108646446.95;108.64644695;84770;1281.6615188156188;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;01;Ain;2;CC;FPU;1;Non;200071371;CC Bresse et Saône;GFP;200071371;CC BRESSE ET SAONE;Dépenses totales;13777153.98;13.77715398;25831;533.3573605357903;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;03;Allier;2;CC;FPU;1;Non;200071389;CC Saint-Pourçain Sioule Limagne;GFP;200071389;CC SAINT POURCAIN SIOULE LIMAGNE;Dépenses totales;12767835.16;12.76783516;34877;366.08180634802306;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;07;Ardèche;1;CC;FPU;1;Oui;200071405;CC Ardèche Rhône Coiron;GFP;200071405;CC ARDECHE RHONE COIRON;Dépenses totales;11971826.03;11.971826029999999;22919;522.3537689253458;1;1;;1;;;;;;;;;NA;
2019;Non;84;Auvergne-Rhône-Alpes;07;Ardèche;2;CA;FPU;1;Oui;200071413;CA Privas Centre Ardèche;GFP;200071413;CA PRIVAS CENTRE ARDECHE;Dépenses totales;31491277.3;31.4912773;44955;700.5066688911133;1;1;;1;;;;;;;;;NA;
2019;Non;28;Normandie;27;Eure;4;CA;FPU;1;Oui;200071454;CA Evreux Portes de Normandie;GFP;200071454;CA EVREUX PORTES DE NORMANDIE;Dépenses totales;150312806.5;150.3128065;116242;1293.1023769377678;1;1;;1;;;;;;;;;NA;
